interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 106.00, CMB_to_KBJ_001_4, 106.00, 352.30, 104, 71.00, 71.00, 6.89, 2, 58.72, 2, 53.00, 53.00, 1.17, 0.35, 11.78, 0.46, 28.30, 0.40, 4, 4, 4, 116.58, 2.00
300.00, 600.00, 147.00, CMB_to_KBJ_001_4, 147.00, 206.89, 145, 88.00, 88.00, 3.59, 2, 25.72, 2, 73.50, 73.50, 0.69, 0.48, 5.38, 0.17, 50.04, 0.52, 3, 3, 3, 151.68, 2.00
600.00, 900.00, 93.00, CMB_to_KBJ_001_4, 93.00, 296.91, 91, 49.00, 49.00, 6.87, 2, 48.72, 2, 46.50, 46.50, 0.99, 0.30, 7.70, 0.23, 32.71, 0.34, 3, 3, 3, 99.41, 2.00
900.00, 1200.00, 0.00, CMB_to_KBJ_001_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 12.08, 1, 0.00, 0.00, 0.00, 0.00, 0.04, 5.81, 0.57, 0.01, 3, 3, 3, 2.66, 0.00
1200.00, 1500.00, 128.00, CMB_to_KBJ_001_4, 128.00, 398.58, 126, 69.00, 69.00, 6.77, 2, 47.72, 2, 64.00, 64.00, 1.33, 0.42, 9.81, 0.22, 32.58, 0.45, 4, 2, 4, 132.02, 2.00
1500.00, 1800.00, 239.00, CMB_to_KBJ_001_4, 111.00, 337.24, 108, 75.00, 37.00, 10.00, 3, 59.98, 3, 47.80, 22.20, 1.12, 0.36, 8.60, 0.68, 13.75, 0.45, 7, 9, 9, 129.15, 3.00
1800.00, 2100.00, 66.00, CMB_to_KBJ_001_4, 66.00, 221.41, 64, 37.00, 37.00, 4.42, 1, 53.00, 1, 33.00, 33.00, 0.74, 0.21, 8.36, 0.47, 17.83, 0.25, 4, 3, 4, 73.58, 2.00
2100.00, 2400.00, 279.00, CMB_to_KBJ_001_4, 250.00, 772.67, 247, 96.00, 96.00, 10.00, 3, 69.98, 3, 69.75, 62.50, 2.58, 0.82, 20.71, 0.39, 29.25, 0.93, 8, 9, 9, 270.07, 3.00
2400.00, 2700.00, 72.00, CMB_to_KBJ_001_4, 72.00, 1.57, 71, 72.00, 72.00, 0.02, 1, 41.04, 1, 72.00, 72.00, 0.01, 0.24, 0.39, 0.41, 14.91, 0.27, 5, 5, 5, 76.29, 1.00
2700.00, 3000.00, 189.00, CMB_to_KBJ_001_4, 189.00, 587.94, 186, 75.00, 75.00, 10.00, 3, 64.98, 3, 63.00, 63.00, 1.96, 0.62, 15.01, 0.38, 28.63, 0.70, 7, 7, 7, 205.41, 3.00
3000.00, 3300.00, 39.00, CMB_to_KBJ_001_4, 39.00, 231.25, 37, 38.00, 38.00, 6.25, 1, 62.50, 2, 19.50, 19.50, 0.77, 0.12, 8.89, 0.96, 9.29, 0.18, 5, 5, 5, 49.41, 3.00
3300.00, 3600.00, 82.00, CMB_to_KBJ_001_4, 82.00, 800.00, 80, 81.00, 81.00, 10.00, 1, 100.00, 2, 41.00, 41.00, 2.67, 0.27, 29.18, 0.69, 18.54, 0.34, 5, 5, 5, 97.62, 3.00
3600.00, 3601.00, 0.00, CMB_to_KBJ_001_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
