interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 299.00, MRT_to_KB_001.37_2, 299.00, 1005.58, 296, 106.00, 106.00, 10.00, 3, 74.52, 3, 99.67, 99.67, 3.35, 0.99, 30.08, 1.70, 6.62, 1.36, 48, 48, 48, 361.87, 3.00
300.00, 600.00, 281.00, MRT_to_KB_001.37_2, 281.00, 1046.56, 276, 83.00, 83.00, 10.00, 3, 69.98, 3, 56.20, 56.20, 3.49, 0.92, 33.29, 1.65, 6.82, 1.30, 45, 44, 45, 347.50, 5.00
600.00, 900.00, 311.00, MRT_to_KB_001.37_2, 311.00, 975.79, 305, 73.00, 73.00, 10.00, 3, 69.98, 3, 51.83, 51.83, 3.25, 1.02, 27.81, 1.63, 6.74, 1.39, 48, 46, 49, 373.87, 8.00
900.00, 1200.00, 350.00, MRT_to_KB_001.37_2, 253.00, 894.00, 251, 103.00, 63.00, 10.00, 3, 75.47, 3, 70.00, 50.60, 2.98, 0.84, 26.53, 2.04, 5.18, 1.27, 51, 54, 54, 327.95, 2.00
1200.00, 1500.00, 344.00, MRT_to_KB_001.37_2, 344.00, 1356.29, 344, 87.00, 87.00, 10.00, 3, 79.99, 3, 68.80, 68.80, 4.52, 1.15, 41.04, 1.18, 9.14, 1.49, 41, 38, 41, 409.63, 7.00
1500.00, 1800.00, 336.00, MRT_to_KB_001.37_2, 157.00, 617.26, 160, 81.00, 75.00, 10.00, 3, 69.98, 3, 56.00, 26.17, 2.06, 0.53, 23.53, 3.05, 3.15, 1.01, 58, 60, 61, 245.59, 6.00
1800.00, 2100.00, 418.00, MRT_to_KB_001.37_2, 418.00, 1514.92, 413, 92.00, 92.00, 10.00, 3, 74.99, 3, 83.60, 83.60, 5.05, 1.38, 44.10, 1.26, 9.08, 1.78, 48, 46, 49, 490.28, 7.00
2100.00, 2400.00, 517.00, MRT_to_KB_001.37_2, 264.00, 764.55, 260, 101.00, 94.00, 9.95, 3, 69.43, 3, 73.86, 37.71, 2.55, 0.87, 25.48, 2.38, 4.38, 1.38, 63, 66, 66, 348.31, 4.00
2400.00, 2700.00, 409.00, MRT_to_KB_001.37_2, 409.00, 1525.63, 404, 92.00, 92.00, 10.00, 3, 82.50, 3, 81.80, 81.80, 5.09, 1.35, 46.29, 1.17, 10.04, 1.71, 43, 41, 43, 472.22, 6.00
2700.00, 3000.00, 354.00, MRT_to_KB_001.37_2, 214.00, 902.33, 210, 97.00, 84.00, 9.49, 2, 82.50, 3, 59.00, 35.67, 3.01, 0.70, 32.61, 2.82, 3.66, 1.26, 65, 67, 67, 308.28, 4.00
3000.00, 3300.00, 304.00, MRT_to_KB_001.37_2, 304.00, 1209.82, 300, 86.00, 86.00, 10.00, 3, 74.99, 3, 60.80, 60.80, 4.03, 1.00, 37.73, 1.76, 6.32, 1.42, 52, 49, 52, 377.69, 6.00
3300.00, 3600.00, 438.00, MRT_to_KB_001.37_2, 299.00, 1291.08, 297, 97.00, 97.00, 10.00, 3, 74.99, 3, 87.60, 59.80, 4.30, 0.99, 40.75, 2.23, 4.81, 1.54, 66, 68, 69, 396.95, 2.00
3600.00, 3601.00, 0.00, MRT_to_KB_001.37_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 12.08, 0.03, 1.00, 0, 1, 1, 0.82, 0.00
