interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 82.00, P_to_KBJ_2, 82.00, 243.03, 78, 43.00, 43.00, 10.00, 2, 79.99, 2, 20.50, 20.50, 0.81, 0.26, 8.96, 1.36, 8.08, 0.36, 11, 9, 11, 98.92, 4.00
300.00, 600.00, 528.00, P_to_KBJ_2, 507.00, 1841.09, 504, 144.00, 144.00, 10.00, 3, 79.99, 3, 105.60, 101.40, 6.14, 1.68, 43.94, 0.34, 34.98, 1.84, 13, 15, 15, 538.06, 3.00
600.00, 900.00, 336.00, P_to_KBJ_2, 336.00, 952.08, 331, 106.00, 106.00, 8.52, 3, 65.16, 3, 67.20, 67.20, 3.17, 1.10, 27.21, 0.32, 34.72, 1.21, 10, 8, 10, 355.94, 5.00
900.00, 1200.00, 291.00, P_to_KBJ_2, 211.00, 492.27, 204, 80.00, 61.00, 10.00, 4, 69.98, 4, 36.38, 26.38, 1.64, 0.68, 15.66, 0.69, 15.31, 0.85, 13, 12, 15, 241.71, 7.00
1200.00, 1500.00, 537.00, P_to_KBJ_2, 462.00, 1418.26, 459, 116.00, 101.00, 10.00, 3, 69.98, 3, 89.50, 77.00, 4.73, 1.53, 39.14, 0.55, 21.20, 1.76, 20, 23, 23, 508.34, 4.00
1500.00, 1800.00, 803.00, P_to_KBJ_2, 803.00, 2339.47, 796, 150.00, 150.00, 10.00, 4, 69.98, 4, 114.71, 114.71, 7.80, 2.65, 58.96, 0.34, 34.29, 2.89, 24, 20, 24, 845.04, 7.00
1800.00, 2100.00, 952.00, P_to_KBJ_2, 588.00, 2156.23, 586, 169.00, 169.00, 10.00, 4, 86.53, 4, 158.67, 98.00, 7.19, 1.95, 66.13, 0.72, 16.10, 2.32, 35, 38, 39, 662.91, 2.00
2100.00, 2400.00, 654.00, P_to_KBJ_2, 654.00, 2129.30, 647, 160.00, 160.00, 8.99, 3, 73.00, 3, 93.43, 93.43, 7.10, 2.16, 62.63, 0.48, 24.28, 2.43, 27, 26, 28, 704.55, 7.00
2400.00, 2700.00, 840.00, P_to_KBJ_2, 665.00, 2238.64, 654, 177.00, 159.00, 9.62, 3, 76.16, 3, 64.61, 51.15, 7.46, 2.18, 66.59, 0.40, 26.96, 2.48, 24, 25, 26, 722.05, 11.00
2700.00, 3000.00, 813.00, P_to_KBJ_2, 813.00, 2282.59, 807, 166.00, 166.00, 10.00, 4, 69.97, 4, 135.50, 135.50, 7.61, 2.69, 59.74, 0.44, 27.24, 3.00, 30, 29, 31, 872.68, 6.00
3000.00, 3300.00, 659.00, P_to_KBJ_2, 508.00, 2228.78, 503, 165.00, 165.00, 9.09, 2, 80.37, 2, 94.14, 72.57, 7.43, 1.68, 67.35, 0.51, 23.03, 1.91, 21, 22, 23, 550.16, 5.00
3300.00, 3600.00, 749.00, P_to_KBJ_2, 749.00, 2232.12, 894, 157.00, 157.00, 10.00, 4, 69.97, 4, 68.09, 68.09, 7.44, 2.98, 53.69, 0.48, 24.74, 3.37, 37, 34, 38, 974.62, 12.00
3600.00, 3601.00, 271.00, P_to_KBJ_2, 4.00, 10.00, 4, 70.00, 1.00, 10.00, 4, 69.97, 4, 67.75, 1.00, 10.00, 4.00, 69.97, 0.00, 1.00, 4.00, 0, 0, 4, 4.00, 0.00
