interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 294.00, MRT_to_KB_001.37_3, 294.00, 966.93, 291, 105.00, 105.00, 10.00, 3, 66.23, 3, 73.50, 73.50, 3.22, 0.97, 22.94, 1.17, 8.81, 1.21, 35, 35, 35, 336.36, 6.00
300.00, 600.00, 215.00, MRT_to_KB_001.37_3, 215.00, 689.87, 213, 84.00, 84.00, 9.48, 3, 74.47, 3, 71.67, 71.67, 2.30, 0.71, 21.42, 1.53, 7.38, 0.97, 32, 32, 32, 265.68, 5.00
600.00, 900.00, 316.00, MRT_to_KB_001.37_3, 316.00, 1252.18, 312, 98.00, 98.00, 10.00, 3, 74.22, 3, 63.20, 63.20, 4.17, 1.04, 35.41, 0.87, 11.24, 1.27, 30, 27, 30, 360.29, 6.00
900.00, 1200.00, 350.00, MRT_to_KB_001.37_3, 281.00, 1327.10, 319, 102.00, 102.00, 10.00, 3, 82.50, 3, 58.33, 46.83, 4.42, 1.06, 41.13, 0.86, 11.94, 1.31, 26, 28, 29, 368.98, 4.00
1200.00, 1500.00, 184.00, MRT_to_KB_001.37_3, 184.00, 782.04, 181, 93.00, 93.00, 8.72, 2, 67.23, 2, 61.33, 61.33, 2.61, 0.60, 25.27, 2.27, 4.58, 0.94, 43, 44, 44, 240.46, 3.00
1500.00, 1800.00, 365.00, MRT_to_KB_001.37_3, 365.00, 1262.87, 360, 116.00, 116.00, 10.00, 3, 79.98, 3, 73.00, 73.00, 4.21, 1.20, 38.92, 0.92, 12.08, 1.48, 32, 30, 32, 414.88, 6.00
1800.00, 2100.00, 591.00, MRT_to_KB_001.37_3, 550.00, 1649.15, 545, 108.00, 100.00, 10.00, 4, 66.75, 4, 84.43, 78.57, 5.50, 1.82, 41.25, 0.69, 16.17, 2.08, 33, 31, 35, 595.68, 5.00
2100.00, 2400.00, 697.00, MRT_to_KB_001.37_3, 316.00, 957.26, 313, 120.00, 86.00, 10.00, 4, 62.50, 4, 99.57, 45.14, 3.19, 1.04, 25.67, 1.63, 6.69, 1.45, 47, 51, 51, 386.01, 3.00
2400.00, 2700.00, 160.00, MRT_to_KB_001.37_3, 160.00, 763.41, 158, 85.00, 85.00, 9.78, 2, 77.75, 2, 80.00, 80.00, 2.54, 0.53, 24.43, 2.01, 5.26, 0.78, 33, 33, 33, 202.84, 2.00
2700.00, 3000.00, 418.00, MRT_to_KB_001.37_3, 418.00, 1488.46, 409, 107.00, 107.00, 10.00, 4, 79.99, 4, 46.44, 46.44, 4.96, 1.36, 43.66, 0.92, 11.05, 1.67, 40, 36, 40, 472.52, 10.00
3000.00, 3300.00, 775.00, MRT_to_KB_001.37_3, 563.00, 1459.16, 558, 120.00, 108.00, 10.00, 4, 69.97, 4, 86.11, 62.55, 4.86, 1.86, 40.47, 0.60, 17.41, 2.14, 30, 33, 34, 619.31, 5.00
3300.00, 3600.00, 299.00, MRT_to_KB_001.37_3, 299.00, 966.71, 293, 101.00, 101.00, 10.00, 3, 69.98, 3, 49.83, 49.83, 3.22, 0.98, 29.51, 1.95, 5.57, 1.42, 57, 58, 58, 375.38, 6.00
3600.00, 3900.00, 244.00, MRT_to_KB_001.37_3, 244.00, 1007.41, 238, 95.00, 95.00, 10.00, 4, 75.76, 4, 40.67, 40.67, 3.36, 0.79, 32.99, 2.15, 4.88, 1.23, 55, 51, 55, 317.94, 6.00
3900.00, 4200.00, 599.00, MRT_to_KB_001.37_3, 544.00, 1688.84, 541, 118.00, 104.00, 10.00, 4, 79.99, 4, 85.57, 77.71, 5.63, 1.80, 44.94, 1.05, 9.70, 2.24, 55, 57, 59, 620.57, 3.00
4200.00, 4500.00, 563.00, MRT_to_KB_001.37_3, 428.00, 1473.34, 420, 120.00, 120.00, 10.00, 3, 79.99, 3, 56.30, 42.80, 4.91, 1.40, 44.01, 1.40, 8.08, 1.91, 56, 57, 58, 520.67, 8.00
4500.00, 4800.00, 0.00, MRT_to_KB_001.37_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 62.50, 2, 0.00, 0.00, 0.00, 0.00, 1.22, 12.70, 0.10, 0.08, 11, 12, 12, 12.69, 0.00
4800.00, 5100.00, 0.00, MRT_to_KB_001.37_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5313.00, 0.00, MRT_to_KB_001.37_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
