interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 148.00, P_to_KBJ_2, 148.00, 536.10, 144, 83.00, 83.00, 8.70, 2, 66.82, 2, 37.00, 37.00, 1.79, 0.48, 16.85, 0.84, 13.28, 0.60, 12, 10, 12, 170.23, 4.00
300.00, 600.00, 377.00, P_to_KBJ_2, 366.00, 1595.34, 364, 121.00, 112.00, 8.82, 2, 68.16, 2, 94.25, 91.50, 5.32, 1.21, 43.85, 0.41, 26.91, 1.33, 12, 12, 14, 389.06, 2.00
600.00, 900.00, 628.00, P_to_KBJ_2, 485.00, 1715.72, 641, 145.00, 145.00, 10.00, 4, 65.17, 4, 125.60, 97.00, 5.72, 2.14, 40.73, 0.26, 47.43, 2.30, 12, 14, 14, 676.68, 4.00
900.00, 1200.00, 214.00, P_to_KBJ_2, 214.00, 666.29, 210, 93.00, 93.00, 10.00, 3, 69.98, 3, 53.50, 53.50, 2.22, 0.70, 19.61, 0.62, 20.62, 0.83, 11, 10, 11, 237.56, 4.00
1200.00, 1500.00, 515.00, P_to_KBJ_2, 504.00, 1939.01, 500, 161.00, 151.00, 10.00, 3, 69.98, 3, 103.00, 100.80, 6.46, 1.67, 50.97, 0.38, 30.42, 1.83, 16, 14, 17, 531.91, 4.00
1500.00, 1800.00, 1012.00, P_to_KBJ_2, 809.00, 2249.38, 805, 159.00, 144.00, 10.00, 4, 69.98, 4, 144.57, 115.57, 7.50, 2.68, 56.64, 0.39, 28.55, 2.92, 26, 25, 29, 852.16, 4.00
1800.00, 2100.00, 1139.00, P_to_KBJ_2, 600.00, 1855.48, 597, 176.00, 176.00, 10.00, 4, 76.16, 4, 162.71, 85.71, 6.18, 1.99, 55.16, 0.90, 13.00, 2.41, 45, 48, 49, 681.86, 3.00
2100.00, 2400.00, 545.00, P_to_KBJ_2, 545.00, 1835.60, 540, 168.00, 168.00, 10.00, 3, 71.32, 3, 109.00, 109.00, 6.12, 1.80, 50.07, 0.83, 14.64, 2.16, 38, 37, 39, 607.75, 5.00
2400.00, 2700.00, 468.00, P_to_KBJ_2, 406.00, 1798.92, 404, 167.00, 130.00, 9.13, 2, 71.32, 2, 117.00, 101.50, 6.00, 1.35, 51.60, 0.84, 13.59, 1.65, 30, 30, 32, 464.01, 2.00
2700.00, 3000.00, 756.00, P_to_KBJ_2, 609.00, 1973.32, 606, 166.00, 166.00, 9.03, 3, 70.32, 3, 151.20, 121.80, 6.58, 2.02, 54.27, 0.40, 29.69, 2.20, 19, 19, 21, 643.06, 3.00
3000.00, 3300.00, 799.00, P_to_KBJ_2, 477.00, 1457.53, 472, 162.00, 160.00, 10.00, 3, 79.99, 3, 114.14, 68.14, 4.86, 1.57, 42.50, 1.42, 7.94, 2.16, 64, 64, 66, 585.70, 5.00
3300.00, 3600.00, 493.00, P_to_KBJ_2, 483.00, 2371.41, 480, 175.00, 170.00, 10.00, 2, 79.99, 2, 98.60, 96.60, 7.90, 1.60, 68.38, 0.75, 16.27, 1.87, 29, 29, 31, 533.85, 3.00
3600.00, 3900.00, 761.00, P_to_KBJ_2, 618.00, 2195.26, 614, 172.00, 140.00, 9.62, 3, 76.17, 3, 126.83, 103.00, 7.32, 2.05, 61.71, 0.56, 21.18, 2.30, 28, 27, 30, 663.90, 4.00
3900.00, 4200.00, 1062.00, P_to_KBJ_2, 648.00, 1991.18, 637, 179.00, 172.00, 9.52, 3, 72.90, 3, 75.86, 46.28, 6.64, 2.12, 54.53, 0.76, 15.35, 2.58, 42, 44, 45, 731.85, 12.00
4200.00, 4500.00, 633.00, P_to_KBJ_2, 633.00, 2006.47, 626, 180.00, 180.00, 10.00, 3, 93.69, 3, 90.43, 90.43, 6.69, 2.09, 52.95, 0.81, 14.41, 2.48, 45, 43, 46, 705.67, 7.00
4500.00, 4800.00, 711.00, P_to_KBJ_2, 620.00, 2161.91, 617, 173.00, 143.00, 10.00, 3, 69.98, 3, 118.50, 103.33, 7.21, 2.06, 59.04, 0.53, 22.00, 2.30, 26, 27, 29, 664.23, 3.00
4800.00, 5100.00, 833.00, P_to_KBJ_2, 640.00, 2163.73, 633, 177.00, 160.00, 9.82, 3, 68.15, 3, 92.56, 71.11, 7.21, 2.11, 58.74, 0.61, 18.92, 2.42, 33, 32, 35, 693.09, 8.00
5100.00, 5313.00, 516.00, P_to_KBJ_2, 41.00, 132.06, 40, 173.00, 16.00, 9.82, 3, 68.15, 3, 129.00, 10.25, 0.62, 0.19, 7.33, 3.08, 2.92, 0.38, 15, 18, 18, 67.57, 1.00
