interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 0.00, CMB_to_KBJ_001_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 25.50, 1, 0.00, 0.00, 0.00, 0.00, 0.29, 7.67, 0.87, 0.03, 4, 4, 4, 6.26, 2.00
300.00, 600.00, 19.00, CMB_to_KBJ_001_3, 19.00, 58.27, 17, 17.00, 17.00, 8.92, 1, 100.00, 2, 9.50, 9.50, 0.19, 0.06, 3.19, 1.89, 3.96, 0.10, 6, 6, 6, 26.85, 2.00
600.00, 900.00, 80.00, CMB_to_KBJ_001_3, 80.00, 354.77, 77, 50.00, 50.00, 9.66, 2, 92.59, 2, 26.67, 26.67, 1.18, 0.26, 11.61, 0.65, 12.94, 0.33, 7, 7, 7, 94.21, 3.00
900.00, 1200.00, 106.00, CMB_to_KBJ_001_3, 106.00, 494.74, 104, 72.00, 72.00, 8.66, 2, 100.00, 2, 26.50, 26.50, 1.65, 0.35, 19.77, 0.76, 13.94, 0.45, 9, 9, 9, 132.06, 8.00
1200.00, 1500.00, 78.00, CMB_to_KBJ_001_3, 78.00, 282.21, 76, 48.00, 48.00, 8.85, 2, 68.42, 2, 39.00, 39.00, 0.94, 0.25, 8.95, 0.74, 16.88, 0.31, 5, 5, 5, 88.15, 2.00
1500.00, 1800.00, 172.00, CMB_to_KBJ_001_3, 172.00, 651.65, 170, 114.00, 114.00, 10.00, 2, 74.99, 2, 86.00, 86.00, 2.17, 0.57, 19.07, 0.64, 15.35, 0.66, 12, 12, 12, 192.47, 3.00
1800.00, 2100.00, 66.00, CMB_to_KBJ_001_3, 66.00, 156.28, 64, 35.00, 35.00, 9.10, 3, 86.77, 3, 22.00, 22.00, 0.52, 0.21, 7.92, 1.46, 6.19, 0.35, 14, 13, 14, 95.22, 7.00
2100.00, 2400.00, 332.00, CMB_to_KBJ_001_3, 312.00, 951.41, 308, 113.00, 113.00, 9.75, 3, 100.00, 3, 66.40, 62.40, 3.17, 1.03, 28.94, 0.47, 25.64, 1.18, 12, 13, 13, 342.98, 4.00
2400.00, 2700.00, 110.00, CMB_to_KBJ_001_3, 110.00, 734.60, 108, 92.00, 92.00, 10.00, 2, 89.54, 2, 55.00, 55.00, 2.45, 0.36, 24.98, 0.48, 13.20, 0.43, 9, 9, 9, 122.39, 4.00
2700.00, 3000.00, 39.00, CMB_to_KBJ_001_3, 39.00, 256.49, 36, 24.00, 24.00, 8.16, 1, 81.57, 1, 13.00, 13.00, 0.85, 0.12, 11.19, 2.07, 4.88, 0.21, 10, 9, 10, 56.16, 3.00
3000.00, 3300.00, 164.00, CMB_to_KBJ_001_3, 140.00, 1266.89, 138, 86.00, 77.00, 10.00, 1, 100.00, 2, 54.67, 46.67, 4.22, 0.46, 45.57, 0.78, 15.24, 0.56, 9, 10, 10, 159.89, 2.00
3300.00, 3600.00, 150.00, CMB_to_KBJ_001_3, 150.00, 706.33, 148, 80.00, 80.00, 9.66, 2, 76.56, 2, 75.00, 75.00, 2.35, 0.49, 21.52, 0.75, 18.02, 0.59, 9, 9, 9, 170.37, 2.00
3600.00, 3900.00, 160.00, CMB_to_KBJ_001_3, 160.00, 781.45, 158, 84.00, 84.00, 10.00, 2, 93.33, 2, 80.00, 80.00, 2.60, 0.53, 24.09, 1.16, 9.55, 0.70, 19, 18, 19, 195.55, 3.00
3900.00, 4200.00, 373.00, CMB_to_KBJ_001_3, 373.00, 1490.01, 371, 101.00, 101.00, 10.00, 3, 100.00, 3, 74.60, 74.60, 4.97, 1.24, 42.33, 0.33, 28.15, 1.37, 13, 11, 14, 402.32, 6.00
4200.00, 4500.00, 558.00, CMB_to_KBJ_001_3, 360.00, 1210.15, 357, 138.00, 138.00, 10.00, 3, 79.98, 3, 93.00, 60.00, 4.03, 1.19, 37.85, 0.80, 13.10, 1.46, 27, 30, 30, 413.52, 4.00
4500.00, 4800.00, 0.00, CMB_to_KBJ_001_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 15.42, 1, 0.00, 0.00, 0.00, 0.00, 0.05, 16.11, 0.03, 0.01, 1, 1, 1, 0.78, 0.00
4800.00, 5100.00, 0.00, CMB_to_KBJ_001_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5157.00, 0.00, CMB_to_KBJ_001_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
