interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts,random_seed,scenario
0.0,300.0,141.0, CMB_to_KBJ_001_1,141.0,1079.73,139,138.0,138.0,10.0,2,100.0,2,70.5,70.5,3.6,0.46,37.7,0.4,37.25,0.52,4,4,4,152.82,2.0,1,Static TL
300.0,600.0,232.0, CMB_to_KBJ_001_1,232.0,1053.38,230,160.0,160.0,10.0,2,100.0,2,116.0,116.0,3.51,0.77,31.57,0.31,48.52,0.84,5,5,5,247.39,2.0,1,Static TL
600.0,900.0,174.0, CMB_to_KBJ_001_1,174.0,597.77,169,88.0,88.0,10.0,2,100.0,2,34.8,34.8,1.99,0.56,20.88,0.49,26.58,0.65,7,5,7,191.9,5.0,1,Static TL
900.0,1200.0,336.0, CMB_to_KBJ_001_1,262.0,2154.75,261,179.0,179.0,10.0,2,100.0,2,112.0,87.33,7.18,0.87,71.34,0.27,45.4,0.94,4,6,6,277.74,1.0,1,Static TL
1200.0,1500.0,245.0, CMB_to_KBJ_001_1,245.0,1108.25,243,133.0,133.0,10.0,2,100.0,2,122.5,122.5,3.69,0.81,30.32,0.39,36.85,0.91,7,7,7,264.53,2.0,1,Static TL
1500.0,1800.0,126.0, CMB_to_KBJ_001_1,126.0,528.37,123,65.0,65.0,10.0,2,89.99,2,42.0,42.0,1.76,0.41,19.12,0.63,19.02,0.48,7,6,7,138.68,4.0,1,Static TL
1800.0,2100.0,438.0, CMB_to_KBJ_001_1,373.0,1081.43,367,147.0,88.0,10.0,4,68.94,4,62.57,53.28,3.6,1.22,27.84,0.36,29.44,1.35,12,10,13,391.53,6.0,1,Static TL
2100.0,2400.0,595.0, CMB_to_KBJ_001_1,401.0,1766.23,399,182.0,182.0,10.0,3,100.0,3,119.0,80.2,5.89,1.33,46.88,0.37,32.51,1.48,10,13,13,432.79,2.0,1,Static TL
2400.0,2700.0,339.0, CMB_to_KBJ_001_1,339.0,1125.32,336,125.0,125.0,10.0,3,93.76,3,113.0,113.0,3.75,1.12,29.35,0.47,29.8,1.28,12,12,12,368.83,3.0,1,Static TL
2700.0,3000.0,423.0, CMB_to_KBJ_001_1,423.0,1264.94,419,124.0,124.0,9.85,3,100.0,3,84.6,84.6,4.22,1.4,35.13,0.34,36.71,1.53,12,9,12,450.03,6.0,1,Static TL
3000.0,3300.0,658.0, CMB_to_KBJ_001_1,373.0,2492.77,372,190.0,190.0,10.0,3,100.0,3,164.5,93.25,8.31,1.24,80.83,0.45,24.83,1.41,13,15,16,408.92,1.0,1,Static TL
3300.0,3600.0,322.0, CMB_to_KBJ_001_1,322.0,1338.21,318,150.0,150.0,8.35,2,90.42,2,80.5,80.5,4.46,1.06,37.64,0.78,15.99,1.3,21,20,22,369.4,5.0,1,Static TL
3600.0,3900.0,484.0, CMB_to_KBJ_001_1,444.0,1825.27,440,183.0,163.0,8.75,2,83.53,2,80.67,74.0,6.08,1.47,50.09,0.33,35.51,1.6,11,11,13,471.67,5.0,1,Static TL
3900.0,4200.0,734.0, CMB_to_KBJ_001_1,617.0,2168.95,614,167.0,159.0,10.0,3,84.61,3,146.8,123.4,7.23,2.05,56.33,0.24,48.83,2.19,11,10,13,644.24,3.0,1,Static TL
4200.0,4500.0,892.0, CMB_to_KBJ_001_1,478.0,2078.62,476,199.0,199.0,10.0,3,84.0,3,178.4,95.6,6.93,1.59,58.37,0.48,24.17,1.8,18,21,21,523.13,3.0,1,Static TL
4500.0,4800.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,1,Static TL
4800.0,5100.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,1,Static TL
5100.0,5313.0,0.0, CMB_to_KBJ_001_1,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,1,Static TL
0.0,300.0,140.0, CMB_to_KBJ_001_1,140.0,1389.29,139,140.0,140.0,10.0,1,100.0,2,140.0,140.0,4.63,0.46,48.32,0.43,36.91,0.52,4,4,4,151.79,1.0,2,Static TL
