interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts,random_seed,scenario
0.0,300.0,141.0, CMB_to_KBJ_001_1,141.0,1079.73,139,138.0,138.0,10.0,2,100.0,2,70.5,70.5,3.6,0.46,37.7,0.4,37.25,0.52,4,4,4,152.79,2.0,1,static_vehicle_data
300.0,600.0,231.0, CMB_to_KBJ_001_1,231.0,1047.34,229,160.0,160.0,10.0,2,100.0,2,115.5,115.5,3.49,0.76,31.51,0.31,40.34,0.84,6,6,6,246.85,2.0,1,static_vehicle_data
600.0,900.0,176.0, CMB_to_KBJ_001_1,176.0,607.25,171,88.0,88.0,10.0,2,100.0,2,35.2,35.2,2.02,0.57,20.92,0.46,26.61,0.65,7,5,7,191.82,5.0,1,static_vehicle_data
900.0,1200.0,339.0, CMB_to_KBJ_001_1,264.0,2162.7,262,180.0,180.0,10.0,2,100.0,2,84.75,66.0,7.21,0.87,71.47,0.27,45.48,0.95,4,6,6,278.28,2.0,1,static_vehicle_data
1200.0,1500.0,245.0, CMB_to_KBJ_001_1,245.0,1107.9,243,133.0,133.0,10.0,2,99.56,2,122.5,122.5,3.69,0.81,30.52,0.42,32.35,0.91,8,8,8,265.68,2.0,1,static_vehicle_data
1500.0,1800.0,114.0, CMB_to_KBJ_001_1,114.0,504.25,112,65.0,65.0,7.85,1,100.0,1,57.0,57.0,1.68,0.37,18.8,0.68,17.33,0.45,7,6,7,126.77,3.0,1,static_vehicle_data
1800.0,2100.0,420.0, CMB_to_KBJ_001_1,355.0,1037.81,349,147.0,88.0,10.0,4,90.06,4,60.0,50.71,3.46,1.16,27.22,0.37,28.05,1.28,12,10,13,373.26,6.0,1,static_vehicle_data
2100.0,2400.0,589.0, CMB_to_KBJ_001_1,402.0,1777.63,400,183.0,183.0,10.0,3,100.0,3,117.8,80.4,5.93,1.33,46.92,0.37,30.21,1.48,11,14,14,433.17,2.0,1,static_vehicle_data
2400.0,2700.0,355.0, CMB_to_KBJ_001_1,355.0,1279.57,349,127.0,127.0,8.35,2,100.0,2,59.17,59.17,4.27,1.16,37.78,0.43,31.49,1.34,12,10,12,388.64,8.0,1,static_vehicle_data
2700.0,3000.0,869.0, CMB_to_KBJ_001_1,737.0,1910.22,732,206.0,124.0,9.9,4,100.0,4,124.14,105.28,6.37,2.44,47.91,0.21,53.92,2.58,12,11,14,764.71,5.0,1,static_vehicle_data
3000.0,3300.0,659.0, CMB_to_KBJ_001_1,374.0,2482.61,371,189.0,189.0,10.0,3,100.0,3,109.83,62.33,8.28,1.24,80.81,0.44,24.95,1.42,13,15,16,410.41,3.0,1,static_vehicle_data
