data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, CMB_to_KBJ_001_1, 7.70, 7.70, 57.00
300.00, CMB_to_KBJ_001_2, 10.90, 10.90, 91.00
300.00, CMB_to_KBJ_001_3, 5.20, 5.20, 83.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
300.00, MRT_to_KB_001.37_2, 34.26, 34.26, 61.00
300.00, MRT_to_KB_001.37_3, 22.86, 26.42, 50.00
300.00, MRT_to_KB_001.37_4, 25.31, 25.31, 43.00
300.00, P_to_KBJ_2, 33.76, 33.76, 133.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
600.00, KB_to_MRT_002_1, 127.45, 0.00, 1.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, MRT_to_KB_003_1, 4.20, 4.20, 14.00
600.00, P_to_KBJ_1, 3.55, 3.55, 57.00
900.00, CMB_to_KBJ_001_1, 14.00, 14.00, 57.00
900.00, CMB_to_KBJ_001_2, 12.00, 12.00, 40.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 24.81, 24.81, 55.00
900.00, MRT_to_KB_001.37_3, 21.21, 21.21, 43.00
900.00, MRT_to_KB_001.37_4, 23.61, 23.61, 42.00
900.00, P_to_KBJ_2, 22.76, 22.76, 112.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.98, 0.00
1200.00, KB_to_MRT_002_1, 127.38, 0.00, 4.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001.37_5, 5.50, 5.50, 71.00
1200.00, P_to_KBJ_1, 18.20, 18.20, 77.00
1200.00, P_to_KBJ_2, 7.70, 7.70, 12.00
1500.00, CMB_to_KBJ_001_1, 5.20, 5.20, 90.00
1500.00, CMB_to_KBJ_001_2, 9.75, 9.75, 70.00
1500.00, CMB_to_KBJ_001_3, 8.70, 8.70, 72.00
1500.00, CMB_to_KBJ_001_4, 8.55, 8.55, 65.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_2, 29.16, 29.16, 37.00
1500.00, MRT_to_KB_001.37_3, 26.76, 26.76, 41.00
1500.00, MRT_to_KB_001.37_4, 28.16, 28.16, 29.00
1500.00, P_to_KBJ_2, 65.46, 65.46, 111.00
