data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, CMB_to_KBJ_001_1, 7.70, 7.70, 57.00
300.00, CMB_to_KBJ_001_2, 3.55, 3.55, 29.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
300.00, MRT_to_KB_001.37_2, 20.11, 25.85, 49.00
300.00, MRT_to_KB_001.37_3, 21.61, 21.61, 46.00
300.00, MRT_to_KB_001.37_4, 29.01, 29.01, 39.00
300.00, P_to_KBJ_2, 24.61, 24.61, 120.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.97, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, MRT_to_KB_001.37_5, 3.00, 3.00, 3.00
600.00, P_to_KBJ_1, 3.00, 3.00, 58.00
900.00, CMB_to_KBJ_001_1, 11.05, 11.05, 59.00
900.00, CMB_to_KBJ_001_2, 3.00, 3.00, 6.00
900.00, CMB_to_KBJ_001_4, 3.00, 3.00, 42.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 27.16, 27.16, 46.00
900.00, MRT_to_KB_001.37_3, 20.10, 20.10, 44.00
900.00, MRT_to_KB_001.37_4, 25.81, 25.81, 32.00
900.00, P_to_KBJ_2, 30.81, 30.81, 111.00
1200.00, CMB_to_KBJ_001_1, 3.55, 3.55, 10.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001.37_5, 8.70, 8.70, 72.00
1200.00, P_to_KBJ_1, 13.40, 13.40, 77.00
1200.00, P_to_KBJ_2, 40.96, 40.96, 76.00
1500.00, CMB_to_KBJ_001_1, 12.35, 12.35, 133.00
1500.00, CMB_to_KBJ_001_2, 9.25, 9.25, 86.00
1500.00, CMB_to_KBJ_001_3, 3.55, 3.55, 69.00
1500.00, CMB_to_KBJ_001_4, 9.85, 9.85, 61.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_2, 17.60, 17.60, 64.00
1500.00, MRT_to_KB_001.37_3, 25.81, 25.81, 61.00
1500.00, MRT_to_KB_001.37_4, 23.66, 23.66, 54.00
1500.00, P_to_KBJ_2, 58.41, 58.41, 108.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
