data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
0.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
300.0, CMB_to_KBJ_001_1,5.2,5.2,10.0,64607,static_vehicle_data
300.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,static_vehicle_data
300.0, MRT_to_KB_001.37_5,6.05,6.05,35.0,64607,static_vehicle_data
300.0, P_to_KBJ_1,19.95,19.95,77.0,64607,static_vehicle_data
300.0, P_to_KBJ_2,24.01,24.01,45.0,64607,static_vehicle_data
600.0, CMB_to_KBJ_001_2,14.25,14.25,38.0,64607,static_vehicle_data
600.0, CMB_to_KBJ_001_3,3.55,3.55,37.0,64607,static_vehicle_data
600.0, CMB_to_KBJ_001_4,5.2,5.2,8.0,64607,static_vehicle_data
600.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,static_vehicle_data
600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
600.0, P_to_KBJ_1,17.4,17.4,117.0,64607,static_vehicle_data
600.0, P_to_KBJ_2,14.0,14.0,121.0,64607,static_vehicle_data
900.0, CMB_to_KBJ_001_1,9.7,9.7,61.0,64607,static_vehicle_data
900.0, CMB_to_KBJ_001_2,5.5,5.5,95.0,64607,static_vehicle_data
900.0, CMB_to_KBJ_001_3,5.2,5.2,40.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_2,37.11,37.11,70.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_3,35.46,35.46,67.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_4,31.01,31.01,62.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_5,3.55,3.55,4.0,64607,static_vehicle_data
900.0, P_to_KBJ_2,44.81,44.81,81.0,64607,static_vehicle_data
1200.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001_2,22.06,22.06,76.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001_3,24.31,20.96,69.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001_4,16.23,16.23,21.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001.37_2,41.21,35.51,79.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001.37_3,42.11,36.41,88.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001.37_4,36.51,30.81,84.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001.37_5,24.96,30.79,3.0,64607,static_vehicle_data
1200.0, MRT_to_KB_003_2,21.61,21.61,26.0,64607,static_vehicle_data
1200.0, P_to_KBJ_1,9.3,9.3,26.0,64607,static_vehicle_data
1500.0, MRT_to_KB_001.37_1,0.0,15.16,0.0,64607,static_vehicle_data
