tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime
31.00, KBJ_to_CMB_002_1, 146.55, 0.00, 16.72, 5.00, 0.36, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_1, 26.00, 0_1, 0, 348.78, 1.00, 0.00, 3.84, Motor_Cycle, , 0, 0.00
32.00, KB_to_MRT_001_1, 44.82, 1.15, 14.72, 8.00, 0.39, CMB_to_KBJ_003_2, 2.10, 0.00, 0.00, tripinfo_0_3, 24.00, 0_3, 0, 301.72, 0.95, 0.00, 4.31, Motor_Cycle, , 0, 0.00
33.00, KBJ_to_CMB_001_3, 57.78, -0.45, 18.81, 14.00, 0.20, MRT_to_KB_003_2, 4.30, 0.00, 0.00, tripinfo_0_10, 19.00, 0_10, 0, 231.99, 1.18, 0.00, 5.17, Car, , 0, 0.00
35.00, KBJ_to_CMB_001_2, 57.78, -0.70, 14.02, 13.00, 0.78, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_8, 22.00, 0_8, 0, 231.99, 0.89, 0.00, 3.65, Car, , 0, 0.00
37.00, KBJ_to_CMB_001_2, 57.78, 0.50, 15.50, 16.00, 0.50, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_11, 21.00, 0_11, 0, 231.99, 0.94, 0.00, 3.57, Car, , 0, 0.00
38.00, KB_to_MRT_002_2, 130.27, -1.45, 15.57, 12.00, 0.80, CMB_to_KBJ_002_2, 4.30, 0.00, 0.00, tripinfo_0_7, 26.00, 0_7, 0, 292.96, 0.96, 0.00, 7.48, Car, , 0, 0.00
39.00, KBJ_to_CMB_002_2, 146.55, -0.45, 14.88, 5.00, 0.68, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_0, 34.00, 0_0, 0, 397.15, 0.93, 0.00, 6.19, Car, , 0, 0.00
41.00, KBJ_to_CMB_002_2, 146.55, 0.15, 15.86, 8.00, 0.05, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_4, 33.00, 0_4, 0, 399.35, 1.00, 0.00, 6.32, Motor_Cycle, , 0, 0.00
42.00, KBJ_to_CMB_002_1, 146.55, -0.70, 12.77, 10.00, 0.85, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_5, 32.00, 0_5, 0, 346.58, 0.80, 0.00, 3.92, Car, , 0, 0.00
43.00, KBJ_to_CMB_002_1, 146.55, -0.70, 15.50, 13.00, 2.22, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_6, 30.00, 0_6, 0, 346.58, 0.97, 0.00, 7.03, Car, , 0, 0.00
46.00, 30093400_1, 127.33, -0.55, 6.70, 14.00, 0.41, CMB_to_KBJ_001_2, 4.30, 0.00, 0.00, tripinfo_0_9, 32.00, 0_9, 0, 242.06, 0.89, 0.00, 5.74, Car, , 0, 0.00
51.00, KBJ_to_CMB_001_3, 57.78, 0.45, 16.32, 30.00, 0.65, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_17, 21.00, 0_17, 0, 233.64, 0.99, 0.00, 4.27, 3_Wheeler, , 0, 0.00
54.00, KBJ_to_CMB_002_2, 146.55, -0.45, 15.96, 22.00, 0.83, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_12, 32.00, 0_12, 0, 397.15, 0.98, 0.00, 5.51, Car, , 0, 0.00
55.00, KBJ_to_CMB_002_1, 146.55, -0.70, 14.49, 30.00, 0.85, MRT_to_KB_001.37_2, 5.40, 0.00, 0.00, tripinfo_0_16, 25.00, 0_16, 0, 296.69, 0.88, 0.00, 3.94, Van, , 0, 0.00
58.00, KBJ_to_CMB_002_1, 146.55, -0.70, 13.67, 26.00, 0.40, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_14, 32.00, 0_14, 0, 346.58, 0.86, 0.00, 5.76, Car, , 0, 0.00
59.00, KBJ_to_CMB_002_1, 146.55, 1.10, 14.62, 30.00, 1.81, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_15, 29.00, 0_15, 0, 348.78, 0.90, 0.00, 4.13, Motor_Cycle, , 0, 0.00
60.00, KBJ_to_CMB_002_2, 146.55, -0.45, 14.63, 35.00, 0.18, MRT_to_KB_001.37_4, 5.40, 0.00, 0.00, tripinfo_0_18, 25.00, 0_18, 0, 296.69, 0.89, 0.00, 3.81, Van, , 0, 0.00
65.00, KBJ_to_CMB_001_3, 57.78, 0.15, 15.06, 43.00, 0.97, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_20, 22.00, 0_20, 0, 234.19, 1.02, 0.00, 5.97, Motor_Cycle, , 0, 0.00
65.00, KBJ_to_CMB_001_2, 57.78, 0.50, 15.90, 52.00, 0.01, MRT_to_KB_001.37_2, 4.30, 0.00, 0.00, tripinfo_0_25, 13.00, 0_25, 0, 132.63, 0.99, 0.00, 3.61, Car, , 0, 0.00
67.00, KBJ_to_CMB_001_4, 57.78, -0.60, 16.46, 54.00, 0.87, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_26, 13.00, 0_26, 0, 132.63, 1.00, 0.00, 3.61, Car, , 0, 0.00
77.00, KBJ_to_CMB_002_1, 146.55, 1.40, 11.48, 39.00, 0.88, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_19, 38.00, 0_19, 0, 399.35, 0.78, 0.00, 4.67, Motor_Cycle, , 0, 0.00
86.00, KBJ_to_CMB_002_1, 146.55, 0.00, 16.62, 59.00, 0.43, MRT_to_KB_001_2, 2.65, 0.00, 0.00, tripinfo_0_27, 27.00, 0_27, 0, 348.23, 1.01, 0.00, 4.57, 3_Wheeler, , 0, 0.00
95.00, KBJ_to_P_2, 128.65, 0.00, 10.08, 8.00, 0.71, MRT_to_KB_001_4, 2.10, 0.00, 0.00, tripinfo_0_2, 87.00, 0_2, 0, 249.81, 0.77, 0.00, 63.10, Motor_Cycle, , 1, 53.00
97.00, KBJ_to_P_2, 128.65, -0.70, 10.79, 47.00, 0.07, MRT_to_KB_003_3, 4.30, 0.00, 0.00, tripinfo_0_21, 50.00, 0_21, 0, 298.18, 0.83, 0.00, 23.25, Car, , 1, 13.00
98.00, KB_to_MRT_002_2, 130.27, -0.45, 13.49, 52.00, 0.04, P_to_KBJ_1, 5.40, 0.00, 0.00, tripinfo_0_24, 46.00, 0_24, 0, 334.84, 0.82, 0.00, 17.75, Van, , 1, 8.00
116.00, KBJ_to_P_2, 128.65, 0.00, 10.40, 89.00, 0.67, MRT_to_KB_001_4, 2.10, 0.00, 0.00, tripinfo_0_36, 27.00, 0_36, 0, 249.81, 0.85, 0.00, 4.70, Motor_Cycle, , 0, 0.00
132.00, KBJ_to_CMB_002_3, 146.55, -0.60, 16.07, 49.00, 0.12, P_to_KBJ_2, 5.40, 0.00, 0.00, tripinfo_0_22, 83.00, 0_22, 0, 387.71, 0.98, 0.00, 56.17, Van, , 1, 45.00
153.00, KBJ_to_CMB_001_2, 57.78, -0.57, 13.84, 89.00, 0.92, MRT_to_KB_003_1, 6.35, 0.00, 0.00, tripinfo_0_35, 64.00, 0_35, 0, 229.94, 1.02, 0.00, 47.22, Goods_Vehicle, , 1, 35.00
153.00, KBJ_to_CMB_001_3, 57.78, 1.25, 12.87, 97.00, 0.11, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_38, 56.00, 0_38, 0, 234.19, 0.86, 0.00, 37.29, Motor_Cycle, , 1, 27.00
156.00, KBJ_to_CMB_001_4, 57.78, 0.00, 15.53, 113.00, 0.33, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_45, 43.00, 0_45, 0, 234.19, 1.00, 0.00, 26.99, Motor_Cycle, , 2, 8.00
159.00, KBJ_to_CMB_001_3, 57.78, -1.05, 15.97, 143.00, 0.75, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_58, 16.00, 0_58, 0, 134.83, 0.99, 0.00, 6.62, Motor_Cycle, , 0, 0.00
160.00, KB_to_MRT_002_3, 130.27, 0.55, 15.01, 102.00, 0.60, CMB_to_KBJ_001_4, 5.40, 0.00, 0.00, tripinfo_0_39, 58.00, 0_39, 0, 248.74, 0.92, 0.00, 41.42, Van, , 1, 31.00
161.00, KBJ_to_CMB_002_2, 146.55, -1.05, 14.96, 75.00, 0.68, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_29, 86.00, 0_29, 0, 299.99, 0.92, 0.00, 65.21, Motor_Cycle, , 1, 56.00
162.00, KBJ_to_CMB_002_2, 146.55, -0.15, 14.60, 84.00, 0.02, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_32, 78.00, 0_32, 0, 348.78, 0.97, 0.00, 55.10, Motor_Cycle, , 1, 43.00
163.00, KBJ_to_CMB_002_3, 146.55, -0.60, 13.61, 85.00, 0.77, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_33, 78.00, 0_33, 0, 297.79, 0.85, 0.00, 55.79, Car, , 1, 47.00
164.00, KBJ_to_CMB_002_2, 146.55, -0.45, 15.25, 67.00, 2.25, MRT_to_KB_001.37_3, 5.40, 0.00, 0.00, tripinfo_0_28, 97.00, 0_28, 0, 296.69, 0.92, 0.00, 76.66, Van, , 1, 64.00
164.00, KBJ_to_CMB_001_4, 57.78, -0.60, 18.55, 151.00, 0.21, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_62, 13.00, 0_62, 0, 132.63, 1.14, 0.00, 4.72, Car, , 0, 0.00
165.00, 30093400_1, 127.33, 1.15, 8.39, 82.00, 0.75, CMB_to_KBJ_003_2, 2.10, 0.00, 0.00, tripinfo_0_31, 83.00, 0_31, 0, 437.99, 1.12, 0.00, 51.48, Motor_Cycle, , 1, 38.00
165.00, KBJ_to_CMB_002_3, 146.55, -0.60, 14.04, 86.00, 0.04, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_34, 79.00, 0_34, 0, 346.58, 0.89, 0.00, 53.32, Car, , 1, 42.00
166.00, KBJ_to_CMB_002_2, 146.55, 0.45, 15.87, 96.00, 0.92, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_37, 70.00, 0_37, 0, 397.15, 0.96, 0.00, 42.64, Car, , 2, 27.00
166.00, KBJ_to_CMB_002_3, 146.55, 0.40, 15.57, 108.00, 1.21, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_40, 58.00, 0_40, 0, 297.79, 0.98, 0.00, 38.83, Car, , 1, 27.00
168.00, KBJ_to_CMB_002_3, 146.55, -1.20, 14.37, 109.00, 0.94, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_42, 59.00, 0_42, 0, 299.44, 0.91, 0.00, 37.67, 3_Wheeler, , 2, 22.00
169.00, KBJ_to_CMB_002_2, 146.55, -0.45, 12.88, 116.00, 0.47, MRT_to_KB_001.37_2, 4.30, 0.00, 0.00, tripinfo_0_46, 53.00, 0_46, 0, 297.79, 0.78, 0.00, 28.57, Car, , 2, 18.00
169.00, KBJ_to_CMB_002_3, 146.55, -0.20, 16.12, 116.00, 0.17, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_47, 53.00, 0_47, 0, 397.15, 1.09, 0.00, 29.08, Car, , 2, 9.00
170.00, KBJ_to_CMB_002_2, 146.55, -0.45, 13.17, 108.00, 0.15, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_41, 62.00, 0_41, 0, 397.15, 0.90, 0.00, 33.47, Car, , 2, 18.00
