data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, CMB_to_KBJ_001_1, 8.70, 8.70, 57.00
300.00, CMB_to_KBJ_001_2, 9.85, 9.85, 91.00
300.00, CMB_to_KBJ_001_3, 6.30, 6.30, 83.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.16, 0.00
300.00, MRT_to_KB_001.37_2, 24.01, 24.01, 49.00
300.00, MRT_to_KB_001.37_3, 24.96, 24.96, 47.00
300.00, MRT_to_KB_001.37_4, 24.06, 24.06, 42.00
300.00, P_to_KBJ_2, 26.66, 30.12, 131.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, MRT_to_KB_001.37_5, 9.30, 9.30, 121.00
600.00, P_to_KBJ_1, 10.90, 10.90, 118.00
600.00, P_to_KBJ_2, 9.85, 9.85, 77.00
900.00, CMB_to_KBJ_001_1, 12.60, 12.60, 57.00
900.00, CMB_to_KBJ_001_2, 8.70, 8.70, 95.00
900.00, CMB_to_KBJ_001_3, 3.00, 3.00, 42.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
900.00, MRT_to_KB_001.37_2, 34.61, 34.61, 72.00
900.00, MRT_to_KB_001.37_3, 30.21, 30.21, 67.00
900.00, MRT_to_KB_001.37_4, 31.91, 31.91, 59.00
900.00, MRT_to_KB_001.37_5, 6.30, 6.30, 3.00
1200.00, CMB_to_KBJ_001_1, 7.25, 7.25, 8.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001.37_5, 9.65, 9.65, 70.00
1200.00, P_to_KBJ_1, 17.35, 17.35, 77.00
1200.00, P_to_KBJ_2, 8.55, 8.55, 44.00
1500.00, CMB_to_KBJ_001_1, 12.05, 12.05, 133.00
1500.00, CMB_to_KBJ_001_2, 14.85, 14.85, 87.00
1500.00, CMB_to_KBJ_001_3, 7.70, 7.70, 72.00
1500.00, CMB_to_KBJ_001_4, 8.80, 8.80, 64.00
1500.00, MRT_to_KB_001_2, 5.20, 5.20, 1.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_2, 38.31, 35.81, 71.00
1500.00, MRT_to_KB_001.37_3, 35.76, 32.41, 62.00
1500.00, MRT_to_KB_001.37_4, 33.71, 33.71, 54.00
1500.00, MRT_to_KB_001.37_5, 13.63, 13.63, 1.00
1500.00, P_to_KBJ_1, 6.30, 6.30, 8.00
1500.00, P_to_KBJ_2, 60.46, 60.46, 66.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1800.00, MRT_to_KB_001.37_5, 5.50, 5.50, 41.00
