data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
0.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_DQL_vehicle_data
300.0, CMB_to_KBJ_001_1,7.7,7.7,56.0,64607,dynamic_DQL_vehicle_data
300.0, CMB_to_KBJ_001_2,8.55,8.55,92.0,64607,dynamic_DQL_vehicle_data
300.0, CMB_to_KBJ_001_3,3.0,3.0,87.0,64607,dynamic_DQL_vehicle_data
300.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,dynamic_DQL_vehicle_data
300.0, MRT_to_KB_001.37_2,32.96,32.96,61.0,64607,dynamic_DQL_vehicle_data
300.0, MRT_to_KB_001.37_3,32.96,32.96,61.0,64607,dynamic_DQL_vehicle_data
300.0, MRT_to_KB_001.37_4,30.61,30.61,62.0,64607,dynamic_DQL_vehicle_data
300.0, P_to_KBJ_2,32.01,32.01,130.0,64607,dynamic_DQL_vehicle_data
600.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,dynamic_DQL_vehicle_data
600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_DQL_vehicle_data
600.0, MRT_to_KB_001.37_5,3.55,3.55,10.0,64607,dynamic_DQL_vehicle_data
600.0, P_to_KBJ_1,3.0,3.0,58.0,64607,dynamic_DQL_vehicle_data
600.0, P_to_KBJ_2,3.0,3.0,65.0,64607,dynamic_DQL_vehicle_data
900.0, CMB_to_KBJ_001_1,15.0,15.0,60.0,64607,dynamic_DQL_vehicle_data
900.0, CMB_to_KBJ_001_2,9.3,9.3,42.0,64607,dynamic_DQL_vehicle_data
900.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,dynamic_DQL_vehicle_data
900.0, MRT_to_KB_001.37_2,31.76,31.76,65.0,64607,dynamic_DQL_vehicle_data
900.0, MRT_to_KB_001.37_3,31.51,31.51,62.0,64607,dynamic_DQL_vehicle_data
900.0, MRT_to_KB_001.37_4,25.96,25.96,55.0,64607,dynamic_DQL_vehicle_data
900.0, P_to_KBJ_2,39.71,39.71,109.0,64607,dynamic_DQL_vehicle_data
1200.0, CMB_to_KBJ_001_1,5.2,5.2,12.0,64607,dynamic_DQL_vehicle_data
1200.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,dynamic_DQL_vehicle_data
1200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_DQL_vehicle_data
1200.0, MRT_to_KB_001.37_5,8.55,8.55,70.0,64607,dynamic_DQL_vehicle_data
1200.0, P_to_KBJ_1,11.35,11.35,77.0,64607,dynamic_DQL_vehicle_data
1200.0, P_to_KBJ_2,11.05,11.05,48.0,64607,dynamic_DQL_vehicle_data
1500.0, CMB_to_KBJ_001_1,6.9,6.9,120.0,64607,dynamic_DQL_vehicle_data
1500.0, CMB_to_KBJ_001_2,10.9,10.9,73.0,64607,dynamic_DQL_vehicle_data
1500.0, CMB_to_KBJ_001_3,5.5,5.5,70.0,64607,dynamic_DQL_vehicle_data
1500.0, CMB_to_KBJ_001_4,10.9,10.9,65.0,64607,dynamic_DQL_vehicle_data
1500.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,dynamic_DQL_vehicle_data
1500.0, MRT_to_KB_001.37_2,34.01,34.01,56.0,64607,dynamic_DQL_vehicle_data
1500.0, MRT_to_KB_001.37_3,32.81,32.81,60.0,64607,dynamic_DQL_vehicle_data
1500.0, MRT_to_KB_001.37_4,31.21,31.21,53.0,64607,dynamic_DQL_vehicle_data
1500.0, P_to_KBJ_2,72.81,72.81,137.0,64607,dynamic_DQL_vehicle_data
1800.0, KBJ_to_CMB_001_1,0.0,24.96,0.0,64607,dynamic_DQL_vehicle_data
1800.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_DQL_vehicle_data
1800.0, MRT_to_KB_001.37_5,10.9,10.9,36.0,64607,dynamic_DQL_vehicle_data
1800.0, P_to_KBJ_1,16.9,16.9,85.0,64607,dynamic_DQL_vehicle_data
1800.0, P_to_KBJ_2,32.71,35.21,56.0,64607,dynamic_DQL_vehicle_data
2100.0, CMB_to_KBJ_001_1,26.51,23.16,85.0,64607,dynamic_DQL_vehicle_data
2100.0, CMB_to_KBJ_001_2,9.75,9.75,62.0,64607,dynamic_DQL_vehicle_data
2100.0, CMB_to_KBJ_001_3,8.55,8.55,63.0,64607,dynamic_DQL_vehicle_data
2100.0, CMB_to_KBJ_001_4,8.85,8.85,46.0,64607,dynamic_DQL_vehicle_data
2100.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,dynamic_DQL_vehicle_data
2100.0, MRT_to_KB_001.37_2,30.41,30.41,42.0,64607,dynamic_DQL_vehicle_data
2100.0, MRT_to_KB_001.37_3,28.16,28.16,45.0,64607,dynamic_DQL_vehicle_data
2100.0, MRT_to_KB_001.37_4,23.46,29.16,45.0,64607,dynamic_DQL_vehicle_data
2100.0, P_to_KBJ_1,51.79,51.79,142.0,64607,dynamic_DQL_vehicle_data
2100.0, P_to_KBJ_2,121.33,98.62,150.0,64607,dynamic_DQL_vehicle_data
2400.0, KBJ_to_CMB_001_1,0.0,24.96,0.0,64607,dynamic_DQL_vehicle_data
2400.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_DQL_vehicle_data
2400.0, MRT_to_KB_001.37_5,10.9,10.9,31.0,64607,dynamic_DQL_vehicle_data
2400.0, P_to_KBJ_1,40.52,40.52,58.0,64607,dynamic_DQL_vehicle_data
2400.0, P_to_KBJ_2,118.28,101.17,41.0,64607,dynamic_DQL_vehicle_data
2700.0, CMB_to_KBJ_001_1,17.5,17.5,92.0,64607,dynamic_DQL_vehicle_data
2700.0, CMB_to_KBJ_001_2,11.75,11.75,50.0,64607,dynamic_DQL_vehicle_data
2700.0, CMB_to_KBJ_001_3,3.55,3.55,47.0,64607,dynamic_DQL_vehicle_data
2700.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,dynamic_DQL_vehicle_data
2700.0, MRT_to_KB_001.37_2,15.45,15.45,38.0,64607,dynamic_DQL_vehicle_data
