tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime,random_seed,scenario
31.0, KBJ_to_CMB_002_1,146.55,0.5,16.64,5.0,0.36, MRT_to_KB_001_2,4.3,0.0,0.0, tripinfo_0_1,26.0, 0_1,0,346.58,1.03,0.0,3.99, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
33.0, KB_to_MRT_001_1,44.82,0.0,16.16,8.0,0.39, CMB_to_KBJ_003_2,2.65,0.0,0.0, tripinfo_0_3,25.0, 0_3,0,301.17,1.02,0.0,5.98, 3_Wheeler, ,0,0.0,64607,dynamic_DQL_vehicle_data
35.0, KBJ_to_CMB_001_2,57.78,-0.7,14.92,13.0,0.78, MRT_to_KB_003_1,5.4,0.0,0.0, tripinfo_0_8,22.0, 0_8,0,230.89,0.91,0.0,4.18, Van, ,0,0.0,64607,dynamic_DQL_vehicle_data
35.0, KBJ_to_CMB_001_3,57.78,-0.45,17.24,14.0,0.2, MRT_to_KB_003_2,4.3,0.0,0.0, tripinfo_0_10,21.0, 0_10,0,231.99,1.09,0.0,5.8, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
36.0, KBJ_to_CMB_002_1,146.55,0.0,16.76,10.0,0.85, MRT_to_KB_001_2,2.1,0.0,0.0, tripinfo_0_5,26.0, 0_5,0,348.78,1.01,0.0,3.63, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
36.0, KBJ_to_CMB_002_2,146.55,-0.45,16.54,11.0,0.22, MRT_to_KB_001_3,4.3,0.0,0.0, tripinfo_0_6,25.0, 0_6,0,346.58,1.04,0.0,3.72, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
37.0, KB_to_MRT_002_2,130.27,-1.45,18.23,12.0,0.8, CMB_to_KBJ_002_2,4.3,0.0,0.0, tripinfo_0_7,25.0, 0_7,0,292.96,1.12,0.0,8.89, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
37.0, KBJ_to_CMB_001_2,57.78,1.0,16.29,16.0,0.5, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_11,21.0, 0_11,0,234.19,1.08,0.0,6.14, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
39.0, KBJ_to_CMB_002_2,146.55,1.05,15.55,8.0,0.05, MRT_to_KB_003_2,2.1,0.0,0.0, tripinfo_0_4,31.0, 0_4,0,399.35,1.0,0.0,4.74, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
40.0, KBJ_to_CMB_002_1,146.55,1.5,15.86,5.0,0.68, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_0,35.0, 0_0,0,399.35,0.96,0.0,7.68, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
43.0, 30093400_1,127.33,-0.55,7.71,14.0,0.41, CMB_to_KBJ_001_2,4.3,0.0,0.0, tripinfo_0_9,29.0, 0_9,0,242.06,1.01,0.0,5.92, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
52.0, KBJ_to_CMB_001_2,57.78,1.0,13.63,30.0,0.65, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_17,22.0, 0_17,0,234.19,0.9,0.0,3.59, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
53.0, KBJ_to_CMB_002_2,146.55,0.0,16.04,30.0,0.85, MRT_to_KB_001.37_3,2.1,0.0,0.0, tripinfo_0_16,23.0, 0_16,0,299.99,0.99,0.0,3.63, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
56.0, KBJ_to_CMB_002_2,146.55,-0.45,15.58,22.0,0.83, MRT_to_KB_003_1,4.3,0.0,0.0, tripinfo_0_12,34.0, 0_12,0,397.15,0.97,0.0,6.94, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
56.0, KBJ_to_CMB_002_1,146.55,-0.7,14.16,26.0,0.4, MRT_to_KB_001_3,4.3,0.0,0.0, tripinfo_0_14,30.0, 0_14,0,346.58,0.88,0.0,4.85, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
58.0, KBJ_to_CMB_002_2,146.55,-0.25,16.21,30.0,1.81, MRT_to_KB_001_2,2.65,0.0,0.0, tripinfo_0_15,28.0, 0_15,0,348.23,1.32,0.0,7.02, 3_Wheeler, ,0,0.0,64607,dynamic_DQL_vehicle_data
60.0, KBJ_to_CMB_002_1,146.55,-0.8,14.37,35.0,0.18, MRT_to_KB_001.37_2,2.1,0.0,0.0, tripinfo_0_18,25.0, 0_18,0,299.99,0.87,0.0,3.56, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
64.0, KBJ_to_CMB_001_3,57.78,0.45,15.12,43.0,0.97, MRT_to_KB_003_2,2.65,0.0,0.0, tripinfo_0_20,21.0, 0_20,0,233.64,0.93,0.0,3.97, 3_Wheeler, ,0,0.0,64607,dynamic_DQL_vehicle_data
