data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
300.00, P_to_KBJ_1, 3.00, 3.00, 22.00
300.00, P_to_KBJ_2, 8.70, 8.70, 14.00
600.00, CMB_to_KBJ_001_2, 23.90, 20.55, 30.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.97, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, MRT_to_KB_001.37_2, 25.16, 25.16, 47.00
600.00, MRT_to_KB_001.37_3, 31.96, 31.96, 49.00
600.00, MRT_to_KB_001.37_4, 28.51, 28.51, 51.00
600.00, MRT_to_KB_001.37_5, 3.55, 3.55, 19.00
900.00, CMB_to_KBJ_001_1, 5.50, 5.50, 75.00
900.00, CMB_to_KBJ_001_2, 18.35, 18.35, 82.00
900.00, CMB_to_KBJ_001_3, 3.00, 3.00, 44.00
900.00, CMB_to_KBJ_001_4, 5.20, 5.20, 13.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 30.93, 30.93, 48.00
900.00, MRT_to_KB_001.37_3, 35.31, 32.81, 48.00
900.00, MRT_to_KB_001.37_4, 38.52, 30.06, 46.00
900.00, P_to_KBJ_1, 5.20, 5.20, 3.00
1200.00, CMB_to_KBJ_001_1, 9.40, 9.40, 55.00
1200.00, CMB_to_KBJ_001_2, 3.55, 3.55, 69.00
1200.00, CMB_to_KBJ_001_3, 13.00, 13.00, 38.00
1200.00, CMB_to_KBJ_001_4, 5.20, 5.20, 34.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001.37_2, 10.90, 10.90, 37.00
1200.00, MRT_to_KB_001.37_3, 17.46, 17.46, 40.00
1200.00, MRT_to_KB_001.37_4, 17.75, 17.75, 29.00
1500.00, CMB_to_KBJ_001_2, 8.70, 8.70, 53.00
1500.00, CMB_to_KBJ_001_3, 6.30, 6.30, 31.00
1500.00, CMB_to_KBJ_001_4, 3.00, 3.00, 22.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_2, 10.90, 10.90, 29.00
1500.00, MRT_to_KB_001.37_3, 24.57, 24.57, 21.00
