tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime
31.00, KB_to_MRT_001_1, 44.82, 0.00, 16.27, 8.00, 0.39, CMB_to_KBJ_003_2, 2.10, 0.00, 0.00, tripinfo_0_3, 23.00, 0_3, 0, 301.72, 1.02, 0.00, 4.39, Motor_Cycle, , 0, 0.00
32.00, KBJ_to_CMB_002_1, 146.55, 0.50, 15.83, 5.00, 0.36, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_1, 27.00, 0_1, 0, 346.58, 0.95, 0.00, 3.64, Car, , 0, 0.00
34.00, KBJ_to_CMB_001_2, 57.78, 1.00, 14.10, 13.00, 0.78, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_8, 21.00, 0_8, 0, 234.19, 0.94, 0.00, 3.88, Motor_Cycle, , 0, 0.00
36.00, KBJ_to_CMB_002_1, 146.55, -0.70, 16.78, 10.00, 0.85, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_5, 26.00, 0_5, 0, 346.58, 1.03, 0.00, 3.77, Car, , 0, 0.00
37.00, KBJ_to_CMB_001_2, 57.78, 0.00, 15.84, 16.00, 0.50, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_11, 21.00, 0_11, 0, 234.19, 1.01, 0.00, 4.61, Motor_Cycle, , 0, 0.00
38.00, KB_to_MRT_002_1, 130.27, 0.55, 15.41, 12.00, 0.80, CMB_to_KBJ_002_2, 5.40, 0.00, 0.00, tripinfo_0_7, 26.00, 0_7, 0, 291.86, 0.95, 0.00, 6.82, Van, , 0, 0.00
38.00, KBJ_to_CMB_001_3, 57.78, 0.45, 12.77, 14.00, 0.20, MRT_to_KB_003_2, 5.40, 0.00, 0.00, tripinfo_0_10, 24.00, 0_10, 0, 230.89, 0.78, 0.00, 3.72, Van, , 0, 0.00
42.00, KBJ_to_CMB_002_1, 146.55, 0.30, 16.13, 8.00, 0.05, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_4, 34.00, 0_4, 0, 399.35, 1.07, 0.00, 9.19, Motor_Cycle, , 0, 0.00
42.00, KBJ_to_CMB_002_2, 146.55, -0.45, 13.15, 11.00, 0.22, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_6, 31.00, 0_6, 0, 346.58, 0.81, 0.00, 3.77, Car, , 0, 0.00
42.00, 30093400_1, 127.33, 0.00, 9.11, 14.00, 0.41, CMB_to_KBJ_001_2, 2.10, 0.00, 0.00, tripinfo_0_9, 28.00, 0_9, 0, 244.26, 1.09, 0.00, 6.41, Motor_Cycle, , 0, 0.00
44.00, KBJ_to_CMB_002_2, 146.55, 1.05, 13.01, 5.00, 0.68, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_0, 39.00, 0_0, 0, 399.35, 0.86, 0.00, 8.54, Motor_Cycle, , 0, 0.00
52.00, KBJ_to_CMB_001_3, 57.78, -0.45, 15.14, 30.00, 0.65, MRT_to_KB_003_1, 5.40, 0.00, 0.00, tripinfo_0_17, 22.00, 0_17, 0, 230.89, 0.92, 0.00, 4.09, Van, , 0, 0.00
56.00, KBJ_to_CMB_002_2, 146.55, -0.32, 13.74, 30.00, 0.85, MRT_to_KB_001.37_3, 6.35, 0.00, 0.00, tripinfo_0_16, 26.00, 0_16, 0, 295.74, 1.07, 0.00, 4.37, Goods_Vehicle, , 0, 0.00
58.00, KBJ_to_CMB_002_2, 146.55, -0.45, 14.52, 22.00, 0.83, MRT_to_KB_003_1, 5.40, 0.00, 0.00, tripinfo_0_12, 36.00, 0_12, 0, 396.05, 0.88, 0.00, 6.35, Van, , 0, 0.00
58.00, KBJ_to_CMB_002_1, 146.55, -0.70, 12.41, 26.00, 0.40, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_14, 32.00, 0_14, 0, 346.58, 0.78, 0.00, 3.73, Car, , 0, 0.00
59.00, KBJ_to_CMB_002_3, 146.55, 0.00, 16.18, 35.00, 0.18, MRT_to_KB_001.37_4, 2.65, 0.00, 0.00, tripinfo_0_18, 24.00, 0_18, 0, 299.44, 1.03, 0.00, 5.08, 3_Wheeler, , 0, 0.00
60.00, KBJ_to_CMB_002_1, 146.55, 0.00, 14.20, 30.00, 1.81, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_15, 30.00, 0_15, 0, 348.78, 0.88, 0.00, 4.17, Motor_Cycle, , 0, 0.00
63.00, KBJ_to_CMB_001_3, 57.78, -0.45, 17.81, 43.00, 0.97, MRT_to_KB_003_2, 5.40, 0.00, 0.00, tripinfo_0_20, 20.00, 0_20, 0, 230.89, 1.10, 0.00, 4.86, Van, , 0, 0.00
66.00, KBJ_to_CMB_001_2, 57.78, 0.00, 13.53, 52.00, 0.01, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_25, 14.00, 0_25, 0, 134.28, 0.86, 0.00, 3.70, 3_Wheeler, , 0, 0.00
67.00, KBJ_to_CMB_001_4, 57.78, 0.00, 14.18, 54.00, 0.87, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_26, 13.00, 0_26, 0, 134.83, 0.89, 0.00, 2.96, Motor_Cycle, , 0, 0.00
69.00, KBJ_to_CMB_002_2, 146.55, -0.25, 17.48, 39.00, 0.88, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_19, 30.00, 0_19, 0, 399.35, 1.05, 0.00, 4.76, Motor_Cycle, , 0, 0.00
81.00, KBJ_to_P_2, 128.65, -0.70, 12.91, 8.00, 0.71, MRT_to_KB_001_4, 4.30, 0.00, 0.00, tripinfo_0_2, 73.00, 0_2, 0, 247.61, 0.98, 0.00, 54.40, Car, , 1, 44.00
82.00, KB_to_MRT_002_1, 130.27, 1.00, 13.79, 52.00, 0.04, P_to_KBJ_1, 2.10, 0.00, 0.00, tripinfo_0_24, 30.00, 0_24, 0, 338.14, 0.93, 0.00, 4.90, Motor_Cycle, , 0, 0.00
84.00, KBJ_to_P_2, 128.65, 0.00, 12.51, 47.00, 0.07, MRT_to_KB_003_3, 2.65, 0.00, 0.00, tripinfo_0_21, 37.00, 0_21, 0, 299.83, 0.94, 0.00, 13.05, 3_Wheeler, , 1, 1.00
117.00, KBJ_to_CMB_002_3, 146.55, -0.60, 15.26, 49.00, 0.12, P_to_KBJ_2, 4.30, 0.00, 0.00, tripinfo_0_22, 68.00, 0_22, 0, 388.81, 0.93, 0.00, 39.58, Car, , 1, 31.00
139.00, KBJ_to_CMB_001_2, 57.78, -0.00, 15.84, 89.00, 0.92, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_35, 50.00, 0_35, 0, 233.64, 1.08, 0.00, 35.04, 3_Wheeler, , 1, 23.00
140.00, KBJ_to_CMB_001_3, 57.78, 0.05, 13.63, 97.00, 0.11, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_38, 43.00, 0_38, 0, 234.19, 0.86, 0.00, 23.87, Motor_Cycle, , 1, 14.00
141.00, KBJ_to_CMB_001_2, 57.78, 1.20, 13.29, 113.00, 0.33, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_45, 28.00, 0_45, 0, 234.19, 0.88, 0.00, 9.57, Motor_Cycle, , 0, 0.00
147.00, KBJ_to_CMB_002_3, 146.55, 1.00, 17.87, 75.00, 0.68, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_29, 72.00, 0_29, 0, 299.99, 1.09, 0.00, 54.01, Motor_Cycle, , 1, 44.00
147.00, KBJ_to_CMB_002_2, 146.55, 1.35, 15.19, 86.00, 0.04, MRT_to_KB_001_3, 2.10, 0.00, 0.00, tripinfo_0_34, 61.00, 0_34, 0, 348.78, 1.00, 0.00, 38.36, Motor_Cycle, , 1, 30.00
147.00, KB_to_MRT_002_3, 130.27, 0.00, 14.58, 102.00, 0.60, CMB_to_KBJ_001_4, 2.10, 0.00, 0.00, tripinfo_0_39, 45.00, 0_39, 0, 252.04, 0.91, 0.00, 27.94, Motor_Cycle, , 1, 18.00
149.00, KBJ_to_CMB_002_2, 146.55, -0.30, 16.07, 66.00, 1.25, MRT_to_KB_001.37_3, 2.65, 0.00, 0.00, tripinfo_0_28, 83.00, 0_28, 0, 299.44, 1.11, 0.00, 63.91, 3_Wheeler, , 1, 52.00
149.00, KBJ_to_CMB_002_3, 146.55, -0.60, 18.93, 84.00, 0.02, MRT_to_KB_001_2, 5.40, 0.00, 0.00, tripinfo_0_32, 65.00, 0_32, 0, 345.48, 1.19, 0.00, 45.80, Van, , 2, 29.00
150.00, KBJ_to_CMB_002_2, 146.55, -1.05, 12.38, 85.00, 0.77, MRT_to_KB_001.37_3, 2.10, 0.00, 0.00, tripinfo_0_33, 65.00, 0_33, 0, 299.99, 0.97, 0.00, 45.57, Motor_Cycle, , 1, 33.00
152.00, KBJ_to_CMB_002_3, 146.55, -0.90, 15.99, 109.00, 0.94, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_42, 43.00, 0_42, 0, 299.44, 1.00, 0.00, 23.77, 3_Wheeler, , 1, 11.00
153.00, KBJ_to_CMB_002_3, 146.55, -1.20, 16.98, 108.00, 0.15, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_41, 45.00, 0_41, 0, 397.15, 1.04, 0.00, 20.17, Car, , 1, 8.00
155.00, KBJ_to_CMB_002_2, 146.55, -0.45, 18.24, 116.00, 0.17, MRT_to_KB_003_2, 4.30, 0.00, 0.00, tripinfo_0_47, 39.00, 0_47, 0, 397.15, 1.12, 0.00, 15.67, Car, , 0, 0.00
156.00, 30093400_1, 127.33, 0.00, 7.97, 24.00, 0.46, CMB_to_KBJ_003_2, 2.10, 0.00, 0.00, tripinfo_0_13, 132.00, 0_13, 0, 437.99, 0.97, 0.00, 95.49, Motor_Cycle, , 1, 81.00
156.00, KBJ_to_CMB_002_3, 146.55, 0.30, 11.51, 109.00, 2.21, MRT_to_KB_001.37_4, 2.65, 0.00, 0.00, tripinfo_0_40, 47.00, 0_40, 0, 299.44, 0.74, 0.00, 21.51, 3_Wheeler, , 1, 12.00
156.00, KBJ_to_CMB_001_2, 57.78, 0.00, 16.96, 143.00, 0.75, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_58, 13.00, 0_58, 0, 134.83, 1.08, 0.00, 4.46, Motor_Cycle, , 0, 0.00
157.00, KBJ_to_CMB_002_3, 146.55, -0.10, 13.79, 118.00, 2.47, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_46, 39.00, 0_46, 0, 299.44, 1.08, 0.00, 20.60, 3_Wheeler, , 2, 4.00
159.00, 30093400_1, 127.33, -0.55, 7.99, 51.00, 0.15, CMB_to_KBJ_001_2, 4.30, 0.00, 0.00, tripinfo_0_23, 108.00, 0_23, 0, 242.06, 1.07, 0.00, 86.27, Car, , 1, 71.00
159.00, KBJ_to_CMB_002_3, 146.55, -0.60, 15.40, 117.00, 0.55, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_48, 42.00, 0_48, 0, 346.58, 1.08, 0.00, 20.90, Car, , 0, 0.00
160.00, KBJ_to_CMB_002_3, 146.55, 0.00, 16.89, 138.00, 0.52, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_55, 22.00, 0_55, 0, 299.99, 1.20, 0.00, 6.34, Motor_Cycle, , 0, 0.00
162.00, 30093400_1, 127.33, -0.42, 8.41, 76.00, 0.93, CMB_to_KBJ_003_2, 6.35, 0.00, 0.00, tripinfo_0_30, 86.00, 0_30, 0, 433.74, 1.03, 0.00, 47.34, Goods_Vehicle, , 1, 32.00
163.00, KBJ_to_CMB_002_2, 146.55, -0.45, 11.65, 59.00, 0.43, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_27, 104.00, 0_27, 0, 346.58, 0.88, 0.00, 78.21, Car, , 2, 62.00
163.00, 30093400_1, 127.33, -1.15, 9.09, 123.00, 0.31, CMB_to_KBJ_002_2, 2.10, 0.00, 0.00, tripinfo_0_50, 40.00, 0_50, 0, 287.38, 1.20, 0.00, 18.68, Motor_Cycle, , 0, 0.00
164.00, 30093400_1, 127.33, -0.35, 8.15, 82.00, 0.75, CMB_to_KBJ_003_2, 4.30, 0.00, 0.00, tripinfo_0_31, 82.00, 0_31, 0, 435.79, 1.09, 0.00, 50.06, Car, , 1, 31.00
164.00, KBJ_to_CMB_002_3, 146.55, -0.60, 11.70, 96.00, 0.92, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_37, 68.00, 0_37, 0, 397.15, 1.06, 0.00, 43.63, Car, , 2, 24.00
165.00, KBJ_to_CMB_001_2, 57.78, -0.00, 16.56, 151.00, 0.21, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_62, 14.00, 0_62, 0, 134.28, 1.21, 0.00, 5.43, 3_Wheeler, , 0, 0.00
169.00, 30093400_1, 127.33, 1.15, 7.99, 131.00, 0.84, CMB_to_KBJ_001_2, 2.10, 0.00, 0.00, tripinfo_0_53, 38.00, 0_53, 0, 244.26, 0.98, 0.00, 13.99, Motor_Cycle, , 1, 1.00
170.00, KBJ_to_CMB_002_2, 146.55, 0.75, 9.83, 120.00, 0.45, MRT_to_KB_001_3, 2.65, 0.00, 0.00, tripinfo_0_49, 50.00, 0_49, 0, 348.23, 1.02, 0.00, 27.64, 3_Wheeler, , 1, 1.00
171.00, KBJ_to_CMB_002_3, 146.55, -0.60, 13.06, 126.00, 0.12, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_51, 45.00, 0_51, 0, 397.15, 1.05, 0.00, 20.01, Car, , 0, 0.00
171.00, KBJ_to_CMB_002_2, 146.55, -0.05, 14.15, 129.00, 0.54, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_52, 42.00, 0_52, 0, 348.78, 0.96, 0.00, 18.24, Motor_Cycle, , 1, 1.00
172.00, KBJ_to_CMB_002_2, 146.55, 1.25, 14.27, 148.00, 0.52, MRT_to_KB_001.37_3, 2.10, 0.00, 0.00, tripinfo_0_59, 24.00, 0_59, 0, 299.99, 0.94, 0.00, 4.00, Motor_Cycle, , 0, 0.00
172.00, KBJ_to_CMB_002_3, 146.55, 0.00, 14.32, 148.00, 0.24, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_60, 24.00, 0_60, 0, 299.99, 0.98, 0.00, 4.75, Motor_Cycle, , 0, 0.00
174.00, KBJ_to_CMB_002_2, 146.55, 1.25, 15.90, 140.00, 0.32, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_56, 34.00, 0_56, 0, 398.80, 0.99, 0.00, 7.55, 3_Wheeler, , 0, 0.00
176.00, KBJ_to_CMB_002_2, 146.55, 0.15, 14.78, 143.00, 0.96, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_57, 33.00, 0_57, 0, 399.35, 0.89, 0.00, 3.97, Motor_Cycle, , 0, 0.00
177.00, KBJ_to_CMB_001_3, 57.78, 0.45, 16.24, 154.00, 0.60, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_64, 23.00, 0_64, 0, 233.64, 1.03, 0.00, 7.37, 3_Wheeler, , 0, 0.00
178.00, KBJ_to_CMB_002_2, 146.55, 0.45, 17.95, 151.00, 0.06, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_63, 27.00, 0_63, 0, 346.58, 1.08, 0.00, 6.00, Car, , 0, 0.00
178.00, KBJ_to_CMB_001_2, 57.78, 0.90, 15.06, 165.00, 2.21, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_70, 13.00, 0_70, 0, 134.83, 0.94, 0.00, 3.52, Motor_Cycle, , 0, 0.00
180.00, KBJ_to_CMB_001_4, 57.78, -0.10, 12.05, 164.00, 1.81, MRT_to_KB_001.37_4, 2.65, 0.00, 0.00, tripinfo_0_69, 16.00, 0_69, 0, 134.28, 0.75, 0.00, 3.82, 3_Wheeler, , 0, 0.00
181.00, KB_to_MRT_002_1, 130.27, 0.00, 13.60, 0.00, 0.00, CMB_to_KBJ_003_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:1.0, 181.00, bus_100/101/400/412/418/428/430/433:1.0, 0, 435.77, 1.00, 51.00, 103.31, bus, , 2, 57.00
183.00, KBJ_to_CMB_002_1, 146.55, 0.00, 5.71, 0.00, 0.00, MRT_to_KB_001_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:0.0, 183.00, bus_100/101/400/412/418/428/430/433:0.0, 0, 338.78, 1.00, 120.00, 41.47, bus, , 1, 1.00
183.00, KB_to_MRT_002_2, 130.27, -0.75, 15.25, 155.00, 0.11, CMB_to_KBJ_001_2, 2.65, 0.00, 0.00, tripinfo_0_65, 28.00, 0_65, 0, 251.49, 1.26, 0.00, 12.33, 3_Wheeler, , 0, 0.00
184.00, KBJ_to_CMB_002_2, 146.55, 0.25, 16.36, 156.00, 0.50, MRT_to_KB_001_2, 2.65, 0.00, 0.00, tripinfo_0_66, 28.00, 0_66, 0, 348.23, 1.06, 0.00, 5.48, 3_Wheeler, , 0, 0.00
186.00, KBJ_to_CMB_002_3, 146.55, -1.20, 14.53, 157.00, 0.33, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_67, 29.00, 0_67, 0, 346.58, 0.90, 0.00, 3.90, Car, , 0, 0.00
189.00, KBJ_to_CMB_002_1, 146.55, -1.30, 15.55, 160.00, 0.59, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_68, 29.00, 0_68, 0, 348.78, 0.99, 0.00, 5.66, Motor_Cycle, , 0, 0.00
194.00, KBJ_to_CMB_002_2, 146.55, -1.45, 17.85, 164.00, 0.31, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_71, 30.00, 0_71, 0, 399.35, 1.11, 0.00, 6.12, Motor_Cycle, , 0, 0.00
194.00, KBJ_to_CMB_001_2, 57.78, 1.10, 16.80, 174.00, 0.52, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_78, 20.00, 0_78, 0, 234.19, 1.02, 0.00, 4.10, Motor_Cycle, , 0, 0.00
195.00, KBJ_to_CMB_002_2, 146.55, 0.45, 16.54, 165.00, 0.23, MRT_to_KB_003_2, 2.65, 0.00, 0.00, tripinfo_0_72, 30.00, 0_72, 0, 398.80, 1.07, 0.00, 5.02, 3_Wheeler, , 0, 0.00
