data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, CMB_to_KBJ_001_1, 9.85, 9.85, 55.00
300.00, CMB_to_KBJ_001_2, 10.90, 10.90, 91.00
300.00, CMB_to_KBJ_001_3, 5.20, 5.20, 84.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
300.00, MRT_to_KB_001.37_2, 21.65, 25.16, 62.00
300.00, MRT_to_KB_001.37_3, 25.41, 25.41, 50.00
300.00, MRT_to_KB_001.37_4, 36.36, 30.66, 62.00
300.00, P_to_KBJ_2, 40.11, 40.11, 135.00
600.00, CMB_to_KBJ_001_2, 3.00, 3.00, 11.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, MRT_to_KB_001.37_5, 17.20, 17.20, 128.00
600.00, P_to_KBJ_1, 10.90, 10.90, 117.00
600.00, P_to_KBJ_2, 5.20, 5.20, 76.00
900.00, CMB_to_KBJ_001_1, 11.75, 11.75, 58.00
900.00, CMB_to_KBJ_001_2, 10.90, 10.90, 95.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.17, 0.00
900.00, MRT_to_KB_001.37_2, 40.31, 34.61, 86.00
900.00, MRT_to_KB_001.37_3, 41.86, 30.46, 83.00
900.00, MRT_to_KB_001.37_4, 38.21, 32.35, 74.00
1200.00, CMB_to_KBJ_001_1, 5.20, 5.20, 10.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.99, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001.37_5, 6.30, 6.30, 69.00
1200.00, P_to_KBJ_1, 22.00, 22.00, 77.00
1200.00, P_to_KBJ_2, 14.25, 14.25, 47.00
1500.00, CMB_to_KBJ_001_1, 19.70, 19.70, 145.00
1500.00, CMB_to_KBJ_001_2, 3.00, 3.00, 88.00
1500.00, CMB_to_KBJ_001_3, 20.00, 20.00, 74.00
1500.00, CMB_to_KBJ_001_4, 12.00, 12.00, 62.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
1500.00, MRT_to_KB_001.37_2, 35.66, 35.66, 80.00
1500.00, MRT_to_KB_001.37_3, 32.86, 32.86, 77.00
1500.00, MRT_to_KB_001.37_4, 30.36, 30.36, 75.00
1500.00, P_to_KBJ_1, 5.20, 5.20, 9.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1800.00, MRT_to_KB_001.37_5, 14.40, 14.40, 116.00
1800.00, P_to_KBJ_1, 12.05, 12.05, 85.00
1800.00, P_to_KBJ_2, 22.46, 28.34, 76.00
2100.00, CMB_to_KBJ_001_1, 24.96, 22.46, 86.00
2100.00, CMB_to_KBJ_001_2, 20.66, 20.66, 96.00
2100.00, CMB_to_KBJ_001_3, 3.00, 3.00, 66.00
2100.00, CMB_to_KBJ_001_4, 5.20, 5.20, 59.00
2100.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
2100.00, MRT_to_KB_001.37_2, 33.76, 33.76, 69.00
2100.00, MRT_to_KB_001.37_3, 28.41, 28.41, 68.00
2100.00, MRT_to_KB_001.37_4, 31.76, 31.76, 61.00
2100.00, P_to_KBJ_2, 89.12, 89.12, 98.00
2400.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
2400.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
2400.00, MRT_to_KB_001.37_5, 26.26, 26.26, 108.00
2400.00, P_to_KBJ_1, 15.40, 15.40, 95.00
2400.00, P_to_KBJ_2, 51.51, 51.51, 79.00
2700.00, CMB_to_KBJ_001_1, 12.20, 12.20, 122.00
2700.00, CMB_to_KBJ_001_2, 21.26, 21.26, 51.00
2700.00, CMB_to_KBJ_001_3, 5.20, 5.20, 79.00
2700.00, CMB_to_KBJ_001_4, 5.20, 5.20, 41.00
2700.00, MRT_to_KB_001_2, 16.50, 16.50, 19.00
2700.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
2700.00, MRT_to_KB_001.37_2, 28.31, 28.31, 72.00
2700.00, MRT_to_KB_001.37_3, 30.76, 30.76, 69.00
2700.00, MRT_to_KB_001.37_4, 36.46, 27.91, 63.00
2700.00, P_to_KBJ_2, 109.47, 103.17, 135.00
3000.00, :KB_Junction_2_0, 6.17, 6.17, 38.00
3000.00, CMB_to_KBJ_001_1, 10.20, 10.20, 38.00
3000.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
3000.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
3000.00, MRT_to_KB_001.37_5, 8.85, 8.85, 33.00
