data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
0.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_QL_vehicle_data
300.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,dynamic_QL_vehicle_data
300.0, P_to_KBJ_1,7.25,7.25,23.0,64607,dynamic_QL_vehicle_data
300.0, P_to_KBJ_2,6.05,6.05,12.0,64607,dynamic_QL_vehicle_data
600.0, CMB_to_KBJ_001_1,5.2,5.2,95.0,64607,dynamic_QL_vehicle_data
600.0, CMB_to_KBJ_001_2,12.6,12.6,91.0,64607,dynamic_QL_vehicle_data
600.0, CMB_to_KBJ_001_3,17.5,17.5,47.0,64607,dynamic_QL_vehicle_data
600.0, CMB_to_KBJ_001_4,3.0,3.0,25.0,64607,dynamic_QL_vehicle_data
600.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,dynamic_QL_vehicle_data
600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_QL_vehicle_data
600.0, MRT_to_KB_001.37_2,19.95,19.95,55.0,64607,dynamic_QL_vehicle_data
600.0, MRT_to_KB_001.37_3,19.86,19.86,59.0,64607,dynamic_QL_vehicle_data
600.0, MRT_to_KB_001.37_4,17.6,17.6,50.0,64607,dynamic_QL_vehicle_data
600.0, MRT_to_KB_001.37_5,3.0,3.0,20.0,64607,dynamic_QL_vehicle_data
900.0, CMB_to_KBJ_001_1,8.55,8.55,75.0,64607,dynamic_QL_vehicle_data
900.0, CMB_to_KBJ_001_2,10.9,10.9,74.0,64607,dynamic_QL_vehicle_data
900.0, CMB_to_KBJ_001_3,5.2,5.2,19.0,64607,dynamic_QL_vehicle_data
900.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,dynamic_QL_vehicle_data
900.0, MRT_to_KB_001.37_2,19.97,19.97,39.0,64607,dynamic_QL_vehicle_data
900.0, MRT_to_KB_001.37_3,27.36,27.36,30.0,64607,dynamic_QL_vehicle_data
900.0, MRT_to_KB_001.37_4,25.61,31.4,28.0,64607,dynamic_QL_vehicle_data
900.0, P_to_KBJ_1,3.01,3.01,2.0,64607,dynamic_QL_vehicle_data
1200.0, CMB_to_KBJ_001_1,12.05,12.05,53.0,64607,dynamic_QL_vehicle_data
1200.0, CMB_to_KBJ_001_3,3.55,3.55,40.0,64607,dynamic_QL_vehicle_data
1200.0, KBJ_to_CMB_001_1,0.0,24.98,0.0,64607,dynamic_QL_vehicle_data
1200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_QL_vehicle_data
1200.0, MRT_to_KB_001.37_2,5.2,5.2,10.0,64607,dynamic_QL_vehicle_data
1200.0, MRT_to_KB_001.37_3,8.7,11.48,6.0,64607,dynamic_QL_vehicle_data
1200.0, MRT_to_KB_001.37_4,10.9,10.9,4.0,64607,dynamic_QL_vehicle_data
1200.0, P_to_KBJ_2,40.61,40.61,113.0,64607,dynamic_QL_vehicle_data
1500.0, CMB_to_KBJ_001_2,6.35,6.35,40.0,64607,dynamic_QL_vehicle_data
1500.0, CMB_to_KBJ_001_3,5.2,5.2,31.0,64607,dynamic_QL_vehicle_data
1500.0, CMB_to_KBJ_001_4,3.0,3.0,22.0,64607,dynamic_QL_vehicle_data
1500.0, MRT_to_KB_001.37_1,0.0,15.16,0.0,64607,dynamic_QL_vehicle_data
1500.0, MRT_to_KB_001.37_2,5.2,5.2,2.0,64607,dynamic_QL_vehicle_data
1500.0, MRT_to_KB_001.37_3,3.55,3.55,10.0,64607,dynamic_QL_vehicle_data
1500.0, MRT_to_KB_001.37_4,6.9,6.9,11.0,64607,dynamic_QL_vehicle_data
1500.0, P_to_KBJ_2,29.11,29.11,90.0,64607,dynamic_QL_vehicle_data
1800.0, CMB_to_KBJ_001_1,16.6,16.6,45.0,64607,dynamic_QL_vehicle_data
1800.0, CMB_to_KBJ_001_2,10.9,10.9,24.0,64607,dynamic_QL_vehicle_data
1800.0, CMB_to_KBJ_001_3,3.55,3.55,20.0,64607,dynamic_QL_vehicle_data
1800.0, CMB_to_KBJ_001_4,3.55,3.55,9.0,64607,dynamic_QL_vehicle_data
1800.0, KBJ_to_CMB_001_1,0.0,24.97,0.0,64607,dynamic_QL_vehicle_data
1800.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_QL_vehicle_data
