data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
0.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_vehicle_data
300.0, CMB_to_KBJ_001_1,9.85,9.85,55.0,64607,dynamic_vehicle_data
300.0, CMB_to_KBJ_001_2,10.9,10.9,91.0,64607,dynamic_vehicle_data
300.0, CMB_to_KBJ_001_3,5.2,5.2,84.0,64607,dynamic_vehicle_data
300.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,dynamic_vehicle_data
300.0, MRT_to_KB_001.37_2,21.65,25.16,62.0,64607,dynamic_vehicle_data
300.0, MRT_to_KB_001.37_3,25.41,25.41,50.0,64607,dynamic_vehicle_data
300.0, MRT_to_KB_001.37_4,36.36,30.66,62.0,64607,dynamic_vehicle_data
300.0, P_to_KBJ_2,40.11,40.11,135.0,64607,dynamic_vehicle_data
600.0, CMB_to_KBJ_001_2,3.0,3.0,11.0,64607,dynamic_vehicle_data
600.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,dynamic_vehicle_data
600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_vehicle_data
600.0, MRT_to_KB_001.37_5,17.2,17.2,128.0,64607,dynamic_vehicle_data
600.0, P_to_KBJ_1,10.9,10.9,117.0,64607,dynamic_vehicle_data
600.0, P_to_KBJ_2,5.2,5.2,76.0,64607,dynamic_vehicle_data
900.0, CMB_to_KBJ_001_1,11.75,11.75,58.0,64607,dynamic_vehicle_data
900.0, CMB_to_KBJ_001_2,10.9,10.9,95.0,64607,dynamic_vehicle_data
900.0, MRT_to_KB_001.37_1,0.0,15.17,0.0,64607,dynamic_vehicle_data
900.0, MRT_to_KB_001.37_2,40.31,34.61,86.0,64607,dynamic_vehicle_data
900.0, MRT_to_KB_001.37_3,41.86,30.46,83.0,64607,dynamic_vehicle_data
900.0, MRT_to_KB_001.37_4,38.21,32.35,74.0,64607,dynamic_vehicle_data
1200.0, CMB_to_KBJ_001_1,5.2,5.2,10.0,64607,dynamic_vehicle_data
1200.0, KBJ_to_CMB_001_1,0.0,24.99,0.0,64607,dynamic_vehicle_data
1200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_vehicle_data
1200.0, MRT_to_KB_001.37_5,6.3,6.3,69.0,64607,dynamic_vehicle_data
1200.0, P_to_KBJ_1,22.0,22.0,77.0,64607,dynamic_vehicle_data
1200.0, P_to_KBJ_2,14.25,14.25,47.0,64607,dynamic_vehicle_data
1500.0, CMB_to_KBJ_001_1,19.7,19.7,145.0,64607,dynamic_vehicle_data
1500.0, CMB_to_KBJ_001_2,3.0,3.0,88.0,64607,dynamic_vehicle_data
1500.0, CMB_to_KBJ_001_3,20.0,20.0,74.0,64607,dynamic_vehicle_data
1500.0, CMB_to_KBJ_001_4,12.0,12.0,62.0,64607,dynamic_vehicle_data
1500.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,dynamic_vehicle_data
1500.0, MRT_to_KB_001.37_2,35.66,35.66,80.0,64607,dynamic_vehicle_data
1500.0, MRT_to_KB_001.37_3,32.86,32.86,77.0,64607,dynamic_vehicle_data
1500.0, MRT_to_KB_001.37_4,30.36,30.36,75.0,64607,dynamic_vehicle_data
1500.0, P_to_KBJ_1,5.2,5.2,9.0,64607,dynamic_vehicle_data
1800.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,dynamic_vehicle_data
1800.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_vehicle_data
1800.0, MRT_to_KB_001.37_5,14.4,14.4,116.0,64607,dynamic_vehicle_data
1800.0, P_to_KBJ_1,12.05,12.05,85.0,64607,dynamic_vehicle_data
