data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
300.00, CMB_to_KBJ_001_1, 11.40, 11.40, 55.00
300.00, CMB_to_KBJ_001_2, 6.00, 6.00, 94.00
300.00, CMB_to_KBJ_001_3, 3.00, 3.00, 87.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
300.00, MRT_to_KB_001.37_2, 33.91, 33.91, 63.00
300.00, MRT_to_KB_001.37_3, 30.81, 33.81, 61.00
300.00, MRT_to_KB_001.37_4, 35.56, 35.56, 61.00
300.00, MRT_to_KB_001.37_5, 3.77, 3.77, 11.00
300.00, P_to_KBJ_2, 39.11, 39.11, 3.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.97, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
600.00, MRT_to_KB_001.37_5, 23.50, 23.50, 129.00
600.00, P_to_KBJ_1, 6.00, 6.00, 121.00
600.00, P_to_KBJ_2, 6.00, 6.00, 79.00
900.00, CMB_to_KBJ_001_1, 15.40, 15.40, 61.00
900.00, CMB_to_KBJ_001_2, 8.75, 8.75, 94.00
900.00, CMB_to_KBJ_001_3, 5.20, 5.20, 41.00
900.00, MRT_to_KB_001_2, 3.00, 3.00, 13.00
900.00, MRT_to_KB_001_3, 5.20, 5.20, 16.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 41.01, 30.16, 88.00
900.00, MRT_to_KB_001.37_3, 37.66, 34.11, 89.00
900.00, MRT_to_KB_001.37_4, 37.26, 33.71, 84.00
900.00, MRT_to_KB_001.37_5, 6.30, 6.30, 5.00
1200.00, CMB_to_KBJ_001_1, 11.40, 11.40, 57.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1200.00, MRT_to_KB_001.37_5, 11.75, 11.75, 68.00
1200.00, P_to_KBJ_1, 22.70, 22.70, 78.00
1200.00, P_to_KBJ_2, 15.40, 21.65, 51.00
1500.00, CMB_to_KBJ_001_1, 24.80, 24.80, 145.00
1500.00, CMB_to_KBJ_001_2, 15.50, 15.50, 87.00
1500.00, CMB_to_KBJ_001_3, 9.20, 9.20, 71.00
1500.00, CMB_to_KBJ_001_4, 7.10, 7.10, 70.00
1500.00, MRT_to_KB_001_2, 8.20, 8.20, 20.00
1500.00, MRT_to_KB_001_3, 15.32, 15.32, 12.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
1500.00, MRT_to_KB_001.37_2, 37.16, 34.16, 82.00
1500.00, MRT_to_KB_001.37_3, 38.01, 34.46, 79.00
1500.00, MRT_to_KB_001.37_4, 37.66, 31.46, 72.00
1500.00, MRT_to_KB_001.37_5, 9.17, 9.17, 33.00
1500.00, P_to_KBJ_1, 3.00, 3.00, 13.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1800.00, MRT_to_KB_001.37_5, 16.30, 16.30, 120.00
1800.00, P_to_KBJ_1, 21.15, 21.15, 84.00
1800.00, P_to_KBJ_2, 53.21, 53.21, 88.00
2100.00, CMB_to_KBJ_001_1, 28.16, 21.96, 89.00
2100.00, CMB_to_KBJ_001_2, 14.95, 14.95, 98.00
2100.00, CMB_to_KBJ_001_3, 8.20, 8.20, 65.00
2100.00, CMB_to_KBJ_001_4, 13.30, 13.30, 46.00
2100.00, MRT_to_KB_001_2, 14.40, 14.40, 18.00
2100.00, MRT_to_KB_001_3, 11.75, 19.06, 24.00
2100.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
2100.00, MRT_to_KB_001.37_2, 44.21, 34.46, 79.00
2100.00, MRT_to_KB_001.37_3, 38.21, 32.01, 72.00
2100.00, MRT_to_KB_001.37_4, 40.01, 30.81, 67.00
2100.00, MRT_to_KB_001.37_5, 24.92, 24.92, 36.00
2100.00, P_to_KBJ_2, 124.68, 100.87, 108.00
2400.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
2400.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
2400.00, MRT_to_KB_001.37_5, 29.56, 29.56, 111.00
2400.00, P_to_KBJ_1, 28.51, 28.51, 120.00
2400.00, P_to_KBJ_2, 126.48, 104.32, 83.00
2700.00, CMB_to_KBJ_001_1, 18.95, 18.95, 124.00
2700.00, CMB_to_KBJ_001_2, 14.40, 14.40, 93.00
2700.00, CMB_to_KBJ_001_3, 6.00, 6.00, 82.00
2700.00, CMB_to_KBJ_001_4, 3.00, 3.00, 52.00
2700.00, MRT_to_KB_001_2, 12.01, 12.01, 25.00
2700.00, MRT_to_KB_001_3, 14.40, 14.40, 21.00
2700.00, MRT_to_KB_001.37_1, 0.00, 15.16, 0.00
2700.00, MRT_to_KB_001.37_2, 42.46, 30.06, 77.00
2700.00, MRT_to_KB_001.37_3, 38.01, 32.01, 75.00
2700.00, MRT_to_KB_001.37_4, 36.66, 30.46, 66.00
2700.00, MRT_to_KB_001.37_5, 21.38, 21.38, 17.00
2700.00, P_to_KBJ_1, 127.09, 51.17, 126.00
2700.00, P_to_KBJ_2, 129.68, 102.06, 144.00
3000.00, CMB_to_KBJ_001_1, 13.85, 13.85, 48.00
3000.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
3000.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
3000.00, MRT_to_KB_001.37_5, 10.10, 10.10, 38.00
3000.00, P_to_KBJ_1, 119.85, 99.62, 91.00
3000.00, P_to_KBJ_2, 131.03, 100.87, 77.00
3300.00, :J37_0_0, 0.00, 8.94, 0.00
3300.00, CMB_to_KBJ_001_1, 29.56, 23.35, 112.00
3300.00, CMB_to_KBJ_001_2, 18.95, 18.95, 82.00
3300.00, CMB_to_KBJ_001_3, 6.00, 6.00, 78.00
3300.00, CMB_to_KBJ_001_4, 5.20, 5.20, 65.00
3300.00, MRT_to_KB_001_2, 18.50, 24.74, 24.00
3300.00, MRT_to_KB_001_3, 26.51, 26.51, 16.00
3300.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
3300.00, MRT_to_KB_001.37_2, 37.91, 34.36, 76.00
3300.00, MRT_to_KB_001.37_3, 40.56, 34.36, 73.00
3300.00, MRT_to_KB_001.37_4, 36.01, 32.46, 69.00
3300.00, P_to_KBJ_1, 126.80, 101.08, 40.00
3300.00, P_to_KBJ_2, 132.08, 100.57, 159.00
3600.00, CMB_to_KBJ_001_1, 12.20, 12.20, 22.00
3600.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
3600.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
3600.00, MRT_to_KB_001.37_5, 35.56, 35.56, 58.00
3600.00, P_to_KBJ_1, 128.72, 104.22, 105.00
3600.00, P_to_KBJ_2, 131.58, 99.87, 72.00
3900.00, :J37_0_0, 9.16, 9.16, 52.00
3900.00, :J37_0_1, 3.51, 3.51, 19.00
3900.00, CMB_to_KBJ_001_1, 27.36, 20.05, 141.00
3900.00, CMB_to_KBJ_001_2, 27.91, 20.60, 73.00
3900.00, CMB_to_KBJ_001_3, 9.75, 15.96, 69.00
3900.00, CMB_to_KBJ_001_4, 15.50, 15.50, 46.00
3900.00, MRT_to_KB_001_2, 24.75, 24.75, 28.00
3900.00, MRT_to_KB_001_3, 26.16, 26.16, 24.00
3900.00, MRT_to_KB_001_4, 22.80, 22.80, 18.00
3900.00, MRT_to_KB_001.37_1, 0.00, 15.17, 0.00
3900.00, MRT_to_KB_001.37_2, 38.56, 31.46, 65.00
3900.00, MRT_to_KB_001.37_3, 42.21, 33.01, 68.00
3900.00, MRT_to_KB_001.37_4, 39.91, 33.71, 64.00
3900.00, MRT_to_KB_001.37_5, 39.50, 30.75, 17.00
3900.00, MRT_to_KB_003_2, 15.56, 21.88, 16.00
3900.00, P_to_KBJ_1, 131.60, 101.44, 107.00
3900.00, P_to_KBJ_2, 130.68, 102.72, 148.00
4200.00, CMB_to_KBJ_001_1, 3.00, 3.00, 24.00
4200.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
4200.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
4200.00, MRT_to_KB_001.37_5, 6.00, 6.00, 31.00
4200.00, MRT_to_KB_003_2, 0.00, 24.92, 0.00
4200.00, MRT_to_KB_003_3, 33.90, 0.00, 1.00
4200.00, P_to_KBJ_1, 127.05, 102.07, 87.00
4200.00, P_to_KBJ_2, 130.03, 103.22, 66.00
4500.00, :J37_0_1, 10.90, 10.90, 1.00
4500.00, CMB_to_KBJ_001_1, 8.20, 8.20, 29.00
4500.00, CMB_to_KBJ_001_2, 29.61, 23.06, 76.00
4500.00, CMB_to_KBJ_001_3, 12.55, 12.55, 58.00
4500.00, CMB_to_KBJ_001_4, 11.40, 14.61, 48.00
4500.00, MRT_to_KB_001_2, 24.90, 24.90, 33.00
4500.00, MRT_to_KB_001_3, 22.61, 22.61, 30.00
4500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
4500.00, MRT_to_KB_001.37_2, 37.66, 31.46, 63.00
4500.00, MRT_to_KB_001.37_3, 40.66, 34.46, 63.00
4500.00, MRT_to_KB_001.37_4, 42.01, 35.81, 61.00
4500.00, MRT_to_KB_001.37_5, 17.53, 17.53, 23.00
4500.00, MRT_to_KB_003_2, 14.75, 14.75, 8.00
4500.00, P_to_KBJ_1, 131.27, 54.86, 112.00
4500.00, P_to_KBJ_2, 130.93, 98.12, 165.00
4800.00, P_to_KBJ_1, 92.60, 96.18, 90.00
4800.00, P_to_KBJ_2, 131.78, 102.87, 64.00
5100.00, P_to_KBJ_1, 125.29, 100.14, 44.00
5100.00, P_to_KBJ_2, 132.18, 102.02, 153.00
5400.00, P_to_KBJ_1, 111.29, 101.47, 89.00
5400.00, P_to_KBJ_2, 131.53, 103.47, 61.00
