data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
0, MRT_to_KB_001_1,0,27.61,0,1,dynamic_vehicle_data
300, CMB_to_KBJ_001_1,12.45,12.45,53,1,dynamic_vehicle_data
300, CMB_to_KBJ_001_2,6.3,6.3,31,1,dynamic_vehicle_data
300, MRT_to_KB_001.37_1,0,15.14,0,1,dynamic_vehicle_data
300, MRT_to_KB_001.37_2,17.1,17.1,45,1,dynamic_vehicle_data
300, MRT_to_KB_001.37_3,14.5,14.5,43,1,dynamic_vehicle_data
300, MRT_to_KB_001.37_4,31.71,31.71,29,1,dynamic_vehicle_data
300, P_to_KBJ_2,8,8,110,1,dynamic_vehicle_data
600, KBJ_to_CMB_001_1,0,24.96,0,1,dynamic_vehicle_data
600, MRT_to_KB_001_1,0,27.61,0,1,dynamic_vehicle_data
600, MRT_to_KB_001.37_5,6.3,6.3,8,1,dynamic_vehicle_data
600, P_to_KBJ_1,5.2,5.2,58,1,dynamic_vehicle_data
600, P_to_KBJ_2,3.55,3.55,63,1,dynamic_vehicle_data
900, CMB_to_KBJ_001_1,8.2,8.2,60,1,dynamic_vehicle_data
900, CMB_to_KBJ_001_2,8.2,8.2,44,1,dynamic_vehicle_data
900, MRT_to_KB_001.37_1,0,15.17,0,1,dynamic_vehicle_data
900, MRT_to_KB_001.37_2,31.21,31.21,70,1,dynamic_vehicle_data
900, MRT_to_KB_001.37_3,29.66,29.66,54,1,dynamic_vehicle_data
900, MRT_to_KB_001.37_4,26.01,26.01,42,1,dynamic_vehicle_data
900, MRT_to_KB_001.37_5,5.2,5.2,6,1,dynamic_vehicle_data
900, P_to_KBJ_1,0,3.66,0,1,dynamic_vehicle_data
900, P_to_KBJ_2,27.86,27.86,78,1,dynamic_vehicle_data
1200, CMB_to_KBJ_001_1,3,3,11,1,dynamic_vehicle_data
1200, KBJ_to_CMB_001_1,0,24.96,0,1,dynamic_vehicle_data
1200, MRT_to_KB_001_1,0,27.61,0,1,dynamic_vehicle_data
1200, MRT_to_KB_001.37_5,3,3,73,1,dynamic_vehicle_data
1200, P_to_KBJ_1,11.25,11.25,76,1,dynamic_vehicle_data
1200, P_to_KBJ_2,8.2,8.2,49,1,dynamic_vehicle_data
1500, CMB_to_KBJ_001_1,13.75,13.75,134,1,dynamic_vehicle_data
1500, CMB_to_KBJ_001_2,7.7,7.7,74,1,dynamic_vehicle_data
1500, CMB_to_KBJ_001_3,5.2,5.2,69,1,dynamic_vehicle_data
1500, CMB_to_KBJ_001_4,5.2,5.2,59,1,dynamic_vehicle_data
1500, MRT_to_KB_001.37_1,0,15.18,0,1,dynamic_vehicle_data
1500, MRT_to_KB_001.37_2,23.81,26.33,64,1,dynamic_vehicle_data
1500, MRT_to_KB_001.37_3,24.26,24.26,56,1,dynamic_vehicle_data
1500, MRT_to_KB_001.37_4,23.31,23.31,46,1,dynamic_vehicle_data
1500, P_to_KBJ_2,45.06,45.06,18,1,dynamic_vehicle_data
1800, KBJ_to_CMB_001_1,0,24.99,0,1,dynamic_vehicle_data
1800, MRT_to_KB_001_1,0,27.61,0,1,dynamic_vehicle_data
1800, MRT_to_KB_001.37_5,3.55,3.55,41,1,dynamic_vehicle_data
1800, P_to_KBJ_1,8.85,8.85,84,1,dynamic_vehicle_data
1800, P_to_KBJ_2,10.2,10.2,37,1,dynamic_vehicle_data
2100, CMB_to_KBJ_001_1,29.71,21.96,89,1,dynamic_vehicle_data
2100, CMB_to_KBJ_001_2,11.55,11.55,67,1,dynamic_vehicle_data
