data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, CMB_to_KBJ_001_1, 6.35, 6.35, 15.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
300.00, MRT_to_KB_001.37_5, 18.30, 18.30, 101.00
300.00, P_to_KBJ_1, 5.20, 5.20, 46.00
300.00, P_to_KBJ_2, 23.91, 23.91, 40.00
600.00, CMB_to_KBJ_001_2, 8.70, 8.70, 31.00
600.00, CMB_to_KBJ_001_3, 5.20, 5.20, 25.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, MRT_to_KB_001.37_2, 7.25, 7.25, 8.00
600.00, P_to_KBJ_2, 10.90, 10.90, 106.00
900.00, :J1_0_2, 12.05, 12.05, 4.00
900.00, CMB_to_KBJ_001_1, 6.35, 6.35, 74.00
900.00, CMB_to_KBJ_001_2, 30.66, 24.95, 101.00
900.00, CMB_to_KBJ_001_3, 3.55, 3.55, 95.00
900.00, CMB_to_KBJ_001_4, 3.00, 3.00, 43.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
900.00, MRT_to_KB_001.37_2, 35.47, 32.96, 70.00
900.00, MRT_to_KB_001.37_3, 43.11, 32.86, 64.00
900.00, MRT_to_KB_001.37_4, 44.96, 33.56, 61.00
900.00, P_to_KBJ_1, 5.21, 5.21, 1.00
1200.00, :J1_0_1, 24.75, 15.09, 48.00
1200.00, :J1_0_2, 21.80, 10.99, 38.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001_3, 3.17, 3.17, 2.00
1200.00, MRT_to_KB_001.37_2, 43.66, 34.46, 83.00
1200.00, MRT_to_KB_001.37_3, 45.26, 37.06, 98.00
1200.00, MRT_to_KB_001.37_4, 45.06, 32.66, 87.00
1200.00, MRT_to_KB_001.37_5, 5.20, 5.20, 60.00
1200.00, P_to_KBJ_1, 6.30, 6.30, 45.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.16, 0.00
1500.00, MRT_to_KB_001.37_5, 15.45, 15.45, 128.00
1500.00, P_to_KBJ_1, 9.25, 9.25, 101.00
1500.00, P_to_KBJ_2, 9.30, 9.30, 47.00
1800.00, CMB_to_KBJ_001_1, 14.55, 14.55, 76.00
1800.00, CMB_to_KBJ_001_2, 17.20, 17.20, 40.00
