data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
0.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
300.0, CMB_to_KBJ_001_1,8.7,8.7,14.0,64607,static_vehicle_data
300.0, KBJ_to_CMB_002_1,0.0,33.27,0.0,64607,static_vehicle_data
300.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,static_vehicle_data
300.0, MRT_to_KB_001.37_5,14.85,14.85,102.0,64607,static_vehicle_data
300.0, P_to_KBJ_1,12.95,12.95,45.0,64607,static_vehicle_data
300.0, P_to_KBJ_2,27.86,27.86,42.0,64607,static_vehicle_data
600.0, CMB_to_KBJ_001_2,8.55,8.55,32.0,64607,static_vehicle_data
600.0, CMB_to_KBJ_001_3,3.0,3.0,23.0,64607,static_vehicle_data
600.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,static_vehicle_data
600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
600.0, P_to_KBJ_2,12.6,12.6,103.0,64607,static_vehicle_data
900.0, :J1_0_1,6.34,6.34,3.0,64607,static_vehicle_data
900.0, :J1_0_2,12.64,12.64,4.0,64607,static_vehicle_data
900.0, CMB_to_KBJ_001_1,8.55,8.55,74.0,64607,static_vehicle_data
900.0, CMB_to_KBJ_001_2,20.65,20.65,100.0,64607,static_vehicle_data
900.0, CMB_to_KBJ_001_3,8.7,8.7,94.0,64607,static_vehicle_data
900.0, CMB_to_KBJ_001_4,3.0,3.0,41.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_2,43.11,34.06,62.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_3,43.11,34.06,62.0,64607,static_vehicle_data
900.0, MRT_to_KB_001.37_4,37.61,31.91,56.0,64607,static_vehicle_data
900.0, P_to_KBJ_1,3.03,3.03,1.0,64607,static_vehicle_data
1200.0, :J1_0_1,20.8,15.09,63.0,64607,static_vehicle_data
1200.0, :J1_0_2,19.69,19.69,67.0,64607,static_vehicle_data
1200.0, :KB_Junction_3_1,48.19,0.0,1.0,64607,static_vehicle_data
1200.0, CMB_to_KBJ_001_3,0.0,14.64,0.0,64607,static_vehicle_data
1200.0, KBJ_to_CMB_001_1,0.0,24.96,0.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
1200.0, MRT_to_KB_001_2,2.17,4.77,2.0,64607,static_vehicle_data
